market id,market symbol,market name,trade quantity,trade price,date/time [utc]
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,20,34.0,May/26/2006 05:04:01
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,10,33.0,May/26/2006 05:04:01
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,10,25.0,Jun/01/2006 17:57:52
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,1,30.0,Jun/04/2006 03:22:42
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,1,30.0,Jun/04/2006 03:27:16
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,5,25.0,Jun/04/2006 04:28:03
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,5,30.0,Jun/05/2006 11:43:47
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,5,26.0,Jun/09/2006 16:41:56
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,10,25.0,Jun/09/2006 16:42:10
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,8,25.0,Jun/09/2006 16:42:10
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,1,28.0,Jun/09/2006 21:43:04
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,1,28.0,Jun/11/2006 05:15:38
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,8,28.0,Jun/14/2006 02:16:08
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,2,26.0,Jun/23/2006 14:31:56
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,2,25.0,Jun/23/2006 14:31:56
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,2,26.0,Jun/23/2006 15:09:41
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,10,27.0,Jun/23/2006 15:43:10
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,5,27.0,Jun/26/2006 00:33:23
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,1,27.0,Jun/27/2006 18:20:49
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,1,29.0,Jun/30/2006 13:44:35
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,1,29.0,Jul/01/2006 21:38:19
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,9,30.0,Jul/02/2006 12:33:19
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,6,29.0,Jul/02/2006 12:33:19
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,2,27.0,Jul/02/2006 19:55:35
363066,CAT3.06SEASON.LA,Category 3(or Higher) to make landfall in Louisiannia between Jun01-Nov30,1,28.0,Jul/04/2006 00:52:56
