market id,market symbol,market name,trade quantity,trade price,date/time [utc]
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,10,8.0,Feb/01/2006 06:09:05
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,10,7.0,Feb/01/2006 18:19:30
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,20,8.0,Feb/02/2006 11:43:52
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,1,12.0,Feb/05/2006 20:35:54
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,10,7.9,Feb/09/2006 16:19:16
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,9,8.8,Feb/09/2006 23:11:13
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,1,20.0,Feb/10/2006 06:22:38
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,2,17.9,Feb/10/2006 18:03:32
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,2,17.0,Feb/10/2006 22:55:56
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,1,17.0,Feb/11/2006 04:42:06
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,1,17.0,Feb/11/2006 04:43:09
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,6,17.0,Feb/11/2006 05:00:18
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,1,22.0,Feb/11/2006 15:19:10
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,7,20.0,Feb/11/2006 15:19:10
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,2,19.9,Feb/11/2006 15:19:10
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,20,20.0,Feb/11/2006 21:18:08
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,1,22.0,Feb/11/2006 21:18:37
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,9,22.0,Feb/11/2006 21:34:05
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,10,17.0,Feb/11/2006 23:54:53
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,5,24.0,Feb/12/2006 03:11:41
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,5,16.0,Feb/12/2006 03:21:38
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,5,25.0,Feb/12/2006 05:51:09
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,10,20.0,Feb/12/2006 07:54:44
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,1,19.0,Feb/12/2006 10:46:20
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,10,75.0,Feb/12/2006 12:22:37
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,10,80.0,Feb/12/2006 12:30:45
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,2,89.0,Feb/12/2006 13:18:35
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,3,89.0,Feb/12/2006 13:30:07
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,4,84.0,Feb/12/2006 14:26:27
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,6,84.0,Feb/12/2006 14:36:51
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,2,85.0,Feb/12/2006 14:36:51
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,7,89.0,Feb/12/2006 14:36:51
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,5,88.0,Feb/12/2006 14:59:36
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,3,89.0,Feb/12/2006 15:03:46
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,20,93.9,Feb/12/2006 15:40:14
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,5,93.9,Feb/12/2006 15:41:46
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,5,94.0,Feb/12/2006 15:41:57
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,4,94.0,Feb/12/2006 15:42:59
327905,SNOWFALL.NYC.FEB.>20in,Central Park NY to have ON or OVER 20 inches of snowfall by 28 Feb,1,94.0,Feb/12/2006 15:43:51
