market id,market symbol,market name,trade quantity,trade price,date/time [utc]
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,1,12.0,Jan/02/2006 21:54:08
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,5,12.0,Jan/03/2006 04:24:07
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,4,12.0,Jan/03/2006 04:24:13
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,3,3.0,Jan/10/2006 02:32:52
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,14,3.0,Jan/12/2006 22:08:58
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,1,3.0,Jan/12/2006 22:08:58
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,6,3.0,Jan/12/2006 22:09:14
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,3,4.0,Jan/14/2006 14:13:25
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,20,3.9,Jan/14/2006 14:13:25
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,5,3.1,Jan/14/2006 14:13:25
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,2,4.0,Jan/15/2006 00:25:56
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,20,4.1,Jan/15/2006 12:03:45
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,20,4.1,Jan/15/2006 23:09:28
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,10,4.0,Jan/16/2006 14:09:02
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,2,5.0,Jan/17/2006 02:53:22
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,12,4.3,Jan/18/2006 23:49:54
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,10,3.0,Jan/20/2006 05:39:30
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,10,1.5,Jan/23/2006 04:00:33
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,10,2.5,Jan/25/2006 07:58:39
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,10,1.5,Jan/25/2006 18:59:47
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,1,1.0,Jan/26/2006 15:07:37
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,9,1.0,Jan/27/2006 01:10:23
318065,SNOWFALL.31JAN.>20.0in,Central Park NY to have ON or OVER 20 inches of snowfall by 31 Jan,5,0.3,Jan/31/2006 23:43:41
