market id,market symbol,market name,trade quantity,trade price,date/time [utc]
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,100,70.0,Nov/11/2004 23:33:17
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,100,69.0,Nov/12/2004 00:01:07
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,3,70.0,Nov/12/2004 23:33:14
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,97,70.0,Nov/14/2004 03:22:10
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,5,74.0,Nov/18/2004 09:36:44
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,1,74.0,Nov/19/2004 00:24:40
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,94,74.0,Nov/21/2004 17:20:40
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,10,73.0,Nov/22/2004 01:33:41
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,3,77.9,Nov/23/2004 18:50:56
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,3,77.7,Dec/20/2004 23:49:17
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,5,74.0,Dec/22/2004 16:43:26
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,5,73.0,Dec/23/2004 01:55:32
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,5,73.1,Dec/23/2004 01:55:32
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,10,73.0,Dec/24/2004 09:41:45
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,40,73.0,Dec/27/2004 17:24:54
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,35,73.0,Dec/27/2004 18:17:05
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,10,72.9,Dec/28/2004 03:10:39
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,100,70.0,Dec/31/2004 15:50:32
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,13,67.0,Jan/01/2005 05:41:14
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,100,65.0,Jan/01/2005 19:32:09
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,1,60.1,Jan/02/2005 23:12:09
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,1,64.0,Jan/03/2005 02:14:16
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,7,60.0,Jan/03/2005 02:32:38
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,3,60.0,Jan/03/2005 02:32:59
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,2,60.0,Jan/03/2005 04:04:33
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,4,64.0,Jan/03/2005 10:19:35
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,5,65.0,Jan/03/2005 10:19:48
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,67,66.0,Jan/03/2005 10:45:45
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,100,56.0,Jan/03/2005 13:42:50
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,2,53.0,Jan/03/2005 14:41:51
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,5,53.0,Jan/03/2005 23:46:50
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,5,53.5,Jan/03/2005 23:46:50
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,1,53.0,Jan/04/2005 01:30:36
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,1,53.0,Jan/04/2005 01:30:57
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,1,53.0,Jan/04/2005 01:33:45
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,1,53.0,Jan/04/2005 02:11:26
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,2,53.0,Jan/04/2005 02:14:01
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,5,60.0,Jan/04/2005 02:42:56
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,1,53.0,Jan/04/2005 03:01:17
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,5,60.0,Jan/04/2005 06:34:09
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,2,60.0,Jan/05/2005 00:26:45
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,1,53.5,Jan/05/2005 01:48:22
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,10,55.0,Jan/05/2005 02:46:20
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,1,64.8,Jan/05/2005 08:28:50
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,4,64.9,Jan/05/2005 08:29:43
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,1,64.9,Jan/05/2005 08:30:59
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,4,65.0,Jan/05/2005 08:31:09
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,50,65.0,Jan/05/2005 08:40:03
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,50,56.0,Jan/05/2005 13:22:38
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,1,62.8,Jan/06/2005 00:38:42
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,46,55.0,Jan/06/2005 06:02:53
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,3,55.3,Jan/06/2005 06:02:53
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,1,55.2,Jan/06/2005 06:02:53
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,54,55.0,Jan/06/2005 07:02:19
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,5,54.0,Jan/06/2005 12:56:45
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,11,53.1,Jan/06/2005 12:59:09
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,5,53.2,Jan/06/2005 12:59:09
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,4,53.5,Jan/06/2005 12:59:09
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,3,53.1,Jan/06/2005 13:58:46
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,2,53.1,Jan/06/2005 17:21:30
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,12,54.0,Jan/06/2005 17:54:14
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,5,55.0,Jan/07/2005 05:02:23
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,5,53.2,Jan/07/2005 05:02:36
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,1,53.2,Jan/07/2005 05:02:36
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,4,53.1,Jan/07/2005 05:02:48
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,86,53.0,Jan/07/2005 05:03:02
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,20,50.0,Jan/07/2005 14:41:53
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,1,48.5,Jan/08/2005 13:24:40
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,40,46.4,Jan/08/2005 16:01:00
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,60,46.3,Jan/08/2005 16:01:00
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,7,46.3,Jan/08/2005 16:01:11
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,5,45.0,Jan/08/2005 16:01:11
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,10,46.0,Jan/08/2005 16:01:11
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,20,45.0,Jan/08/2005 16:01:11
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,5,37.9,Jan/08/2005 21:48:47
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,10,38.5,Jan/09/2005 00:42:19
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,2,38.5,Jan/09/2005 05:28:55
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,3,39.5,Jan/09/2005 21:03:02
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,7,38.5,Jan/09/2005 21:03:02
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,20,39.5,Jan/09/2005 21:03:02
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,12,39.5,Jan/09/2005 21:05:43
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,25,38.0,Jan/10/2005 21:21:58
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,10,39.9,Jan/11/2005 04:26:22
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,2,39.9,Jan/11/2005 15:33:06
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,23,39.9,Jan/11/2005 15:33:49
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,100,40.0,Jan/11/2005 15:34:46
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,2,55.0,Jan/11/2005 19:29:39
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,5,45.0,Jan/12/2005 01:00:37
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,15,45.0,Jan/12/2005 03:36:48
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,10,45.0,Jan/12/2005 04:04:37
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,5,42.5,Jan/12/2005 04:05:43
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,10,40.0,Jan/12/2005 04:05:43
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,5,42.5,Jan/12/2005 04:05:43
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,5,42.0,Jan/12/2005 04:05:43
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,10,40.0,Jan/12/2005 12:42:25
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,10,41.0,Jan/12/2005 12:42:25
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,10,38.0,Jan/12/2005 20:50:09
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,30,38.0,Jan/12/2005 21:30:17
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,20,32.0,Jan/12/2005 22:48:16
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,4,35.0,Jan/12/2005 22:48:16
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,10,32.0,Jan/13/2005 05:35:00
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,10,31.0,Jan/13/2005 05:35:07
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,5,30.5,Jan/13/2005 05:35:13
178911,SNOWFALL.JAN.+5in,5 Inches or More to Fall,13,30.1,Jan/13/2005 05:35:19
