market id,market symbol,market name,trade quantity,trade price,date/time [utc]
703807,YACHTCREW.IRAN.DEC09,All five crew members to be released by Iran before midnight ET 31 Dec 2009,1,25.0,Dec/02/2009 06:04:41
703807,YACHTCREW.IRAN.DEC09,All five crew members to be released by Iran before midnight ET 31 Dec 2009,1,33.0,Dec/02/2009 06:04:58
703807,YACHTCREW.IRAN.DEC09,All five crew members to be released by Iran before midnight ET 31 Dec 2009,1,40.0,Dec/02/2009 06:05:16
703807,YACHTCREW.IRAN.DEC09,All five crew members to be released by Iran before midnight ET 31 Dec 2009,1,50.0,Dec/02/2009 06:06:06
703807,YACHTCREW.IRAN.DEC09,All five crew members to be released by Iran before midnight ET 31 Dec 2009,19,50.0,Dec/02/2009 06:06:06
703807,YACHTCREW.IRAN.DEC09,All five crew members to be released by Iran before midnight ET 31 Dec 2009,7,50.0,Dec/02/2009 06:07:33
703807,YACHTCREW.IRAN.DEC09,All five crew members to be released by Iran before midnight ET 31 Dec 2009,1,50.0,Dec/02/2009 06:07:33
703807,YACHTCREW.IRAN.DEC09,All five crew members to be released by Iran before midnight ET 31 Dec 2009,23,50.0,Dec/02/2009 06:08:46
703807,YACHTCREW.IRAN.DEC09,All five crew members to be released by Iran before midnight ET 31 Dec 2009,12,67.0,Dec/02/2009 06:09:36
703807,YACHTCREW.IRAN.DEC09,All five crew members to be released by Iran before midnight ET 31 Dec 2009,13,67.0,Dec/02/2009 06:23:03
703807,YACHTCREW.IRAN.DEC09,All five crew members to be released by Iran before midnight ET 31 Dec 2009,1,80.0,Dec/02/2009 10:11:22
703807,YACHTCREW.IRAN.DEC09,All five crew members to be released by Iran before midnight ET 31 Dec 2009,1,90.0,Dec/02/2009 10:11:38
703807,YACHTCREW.IRAN.DEC09,All five crew members to be released by Iran before midnight ET 31 Dec 2009,2,95.0,Dec/02/2009 10:16:34
