market id,market symbol,market name,trade quantity,trade price,date/time [utc]
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,3,7.5,Dec/16/2006 07:13:32
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,10,5.0,Jan/03/2007 05:47:36
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,1,5.0,Jan/10/2007 18:53:21
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,3,5.5,Jan/15/2007 02:39:47
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,1,3.0,Jan/24/2007 02:35:54
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,1,4.0,Feb/04/2007 13:36:21
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,50,6.5,Feb/08/2007 22:27:11
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,49,4.0,Feb/08/2007 22:27:11
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,1,9.9,Feb/08/2007 22:28:41
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,37,5.5,Feb/08/2007 23:02:20
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,69,4.0,Feb/08/2007 23:52:18
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,3,5.3,Feb/09/2007 00:23:48
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,37,5.3,Feb/09/2007 01:09:56
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,79,6.0,Feb/09/2007 01:09:56
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,2,5.9,Feb/09/2007 23:46:59
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,28,4.0,Feb/10/2007 01:39:14
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,50,4.9,Feb/10/2007 17:48:14
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,50,4.4,Feb/14/2007 02:51:16
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,50,4.7,Feb/17/2007 20:48:01
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,3,5.1,Feb/19/2007 01:54:29
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,26,4.8,Feb/19/2007 03:43:48
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,5,4.9,Feb/26/2007 12:36:39
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,50,4.9,Mar/01/2007 09:43:41
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,50,4.9,Mar/01/2007 09:47:22
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,500,4.8,Mar/01/2007 09:47:43
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,1,5.0,Mar/01/2007 09:48:34
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,368,4.7,Mar/01/2007 10:08:56
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,116,5.8,Mar/01/2007 10:10:32
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,5,4.9,Mar/01/2007 10:12:45
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,1,3.0,Mar/01/2007 10:13:34
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,1,5.0,Mar/01/2007 10:18:34
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,1,9.9,Mar/01/2007 10:22:09
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,1,5.0,Mar/23/2007 15:49:34
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,1,5.0,Mar/23/2007 15:49:50
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,2,5.0,Mar/28/2007 17:58:04
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,16,5.0,Apr/01/2007 03:49:12
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,15,3.2,Apr/22/2007 19:21:15
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,20,2.8,Apr/22/2007 20:47:52
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,2,2.0,May/02/2007 12:21:00
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,5,2.0,May/02/2007 19:48:36
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,22,1.3,May/04/2007 11:20:40
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,1,2.1,May/04/2007 23:56:08
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,18,1.0,May/08/2007 12:31:21
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,30,1.0,May/10/2007 16:22:36
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,30,1.0,May/10/2007 16:22:45
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,30,1.0,May/14/2007 12:29:57
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,30,1.0,May/14/2007 12:30:06
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,7,1.3,May/15/2007 14:07:44
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,7,1.3,May/15/2007 14:08:08
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,9,1.4,May/16/2007 12:15:33
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,9,1.4,May/16/2007 12:15:48
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,11,1.7,May/17/2007 14:55:58
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,11,1.7,May/17/2007 14:56:11
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,10,1.8,May/18/2007 15:56:04
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,10,1.8,May/18/2007 15:56:19
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,40,1.9,May/21/2007 10:25:39
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,10,1.8,May/25/2007 15:40:55
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,10,1.8,May/25/2007 15:41:09
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,5,1.3,May/28/2007 13:32:46
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,5,1.3,May/28/2007 13:33:02
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,10,1.3,May/29/2007 13:02:41
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,10,1.3,May/29/2007 13:02:53
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,16,2.0,May/29/2007 21:06:01
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,12,2.8,Jun/05/2007 15:36:13
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,12,2.8,Jun/05/2007 15:36:36
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,5,3.1,Jun/06/2007 15:22:58
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,5,3.1,Jun/06/2007 15:23:10
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,10,2.0,Jun/08/2007 14:41:02
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,10,2.0,Jun/08/2007 14:41:13
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,10,1.8,Jun/09/2007 14:15:28
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,10,1.8,Jun/09/2007 14:15:42
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,10,2.0,Jun/10/2007 12:29:30
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,10,2.0,Jun/10/2007 12:29:42
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,2,2.9,Jun/13/2007 09:07:45
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,10,2.2,Jun/13/2007 14:17:37
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,10,2.2,Jun/13/2007 14:17:48
425329,HAMAS.ISRAEL.JUN07,Hamas Accepts Israels Right to Exist ON or BEFORE 30 Jun07,2,2.0,Jun/13/2007 22:36:16
