market id,market symbol,market name,trade quantity,trade price,date/time [utc]
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,2,30.0,Jul/28/2007 14:15:51
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,4,30.0,Jul/28/2007 14:17:12
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,30.0,Jul/29/2007 11:07:30
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,4,30.0,Jul/30/2007 09:42:34
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,5,29.0,Jul/30/2007 13:57:46
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,5,29.0,Jul/30/2007 13:57:57
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,29.0,Jul/31/2007 13:36:32
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,29.0,Jul/31/2007 13:36:43
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,35.0,Aug/07/2007 12:12:32
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,35.0,Aug/07/2007 12:12:41
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,35.0,Aug/09/2007 13:17:09
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,35.0,Aug/09/2007 13:20:19
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,30.0,Aug/10/2007 12:53:50
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,30.0,Aug/10/2007 12:53:59
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,15,31.0,Aug/21/2007 15:30:04
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,15,31.0,Aug/21/2007 15:30:17
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,30,30.0,Aug/28/2007 13:50:16
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,30,30.0,Aug/28/2007 13:50:29
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,2,40.0,Aug/31/2007 14:19:54
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,30.0,Sep/03/2007 15:13:01
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,30.0,Sep/03/2007 15:13:09
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,15.0,Oct/03/2007 12:20:03
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,15.0,Oct/03/2007 12:20:10
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,15.0,Oct/04/2007 12:57:14
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,15.0,Oct/04/2007 12:57:21
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,15.0,Oct/08/2007 14:03:41
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,15.0,Oct/08/2007 14:03:51
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,1,10.2,Oct/15/2007 01:43:40
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,15.0,Oct/26/2007 10:43:31
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,15.0,Oct/26/2007 10:43:40
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,15.0,Nov/01/2007 13:33:46
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,15.0,Nov/01/2007 13:33:53
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,15.0,Nov/06/2007 18:38:34
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,15.0,Nov/06/2007 18:38:44
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,15,12.0,Nov/21/2007 16:05:14
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,15,12.0,Nov/21/2007 16:05:31
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,11,11.0,Nov/27/2007 16:19:36
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,11,11.0,Nov/27/2007 16:19:46
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,15,12.0,Nov/28/2007 14:04:13
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,15,12.0,Nov/28/2007 14:04:24
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,9.0,Dec/03/2007 14:10:40
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,9.0,Dec/03/2007 14:10:49
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,1,15.0,Dec/08/2007 22:52:13
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,9.0,Dec/13/2007 13:06:14
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,9.0,Dec/13/2007 13:06:29
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,20,9.0,Dec/13/2007 13:10:16
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,10.0,Dec/14/2007 13:47:13
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,10.0,Dec/14/2007 13:47:19
503868,MUGABE.DEPART.MAR08,Robert Mugabe to depart as President of Zimbabwe on/before 31 Mar 2008,10,10.0,Dec/17/2007 13:18:00
