market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-06,10.0,10.0,10.0,10.0,30,30,10.0,10.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-07,0.0,0.0,0.0,10.0,30,0,10.0,10.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-08,0.0,0.0,0.0,10.0,30,0,10.0,10.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-09,10.0,10.0,10.0,10.0,31,1,10.0,10.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-10,0.0,0.0,0.0,10.0,31,0,10.0,10.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-11,0.0,0.0,0.0,10.0,31,0,10.0,10.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-12,0.0,0.0,0.0,10.0,31,0,10.0,10.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-13,12.0,12.0,10.0,12.0,51,20,12.0,10.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-14,8.0,8.0,8.0,8.0,62,11,12.0,8.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-15,0.0,0.0,0.0,8.0,62,0,12.0,8.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-16,8.0,8.0,6.0,6.0,84,22,12.0,6.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-17,6.0,6.0,3.0,3.0,206,122,12.0,3.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-18,0.0,0.0,0.0,3.0,206,0,12.0,3.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-19,0.0,0.0,0.0,3.0,206,0,12.0,3.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-20,0.0,0.0,0.0,3.0,206,0,12.0,3.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-21,0.0,0.0,0.0,3.0,206,0,12.0,3.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-22,3.1,3.1,3.0,3.0,276,71,12.0,3.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-23,0.0,0.0,0.0,3.0,276,0,12.0,3.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-27,0.0,0.0,0.0,3.0,276,0,12.0,3.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-28,0.0,0.0,0.0,3.0,276,0,12.0,3.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-29,0.0,0.0,0.0,3.0,276,0,12.0,3.0
686189,SWINE.FLU.US.JUL09.80000+,80,000 or more cases of A/H1N1 Swine Flu to be reported in the US before midnight ET on 31 Jul 2009,2009-07-30,0.0,0.0,0.0,3.0,276,0,12.0,3.0
