market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
227430,PAPACY.RATZINGER,Joseph Ratzinger (Germany) to succeed Pope John Paul II,2005-04-04,8.0,8.0,8.0,8.0,10,10,8.0,8.0
227430,PAPACY.RATZINGER,Joseph Ratzinger (Germany) to succeed Pope John Paul II,2005-04-05,7.0,9.0,7.0,7.0,22,12,9.0,7.0
227430,PAPACY.RATZINGER,Joseph Ratzinger (Germany) to succeed Pope John Paul II,2005-04-06,8.0,8.0,7.0,8.0,37,25,9.0,7.0
227430,PAPACY.RATZINGER,Joseph Ratzinger (Germany) to succeed Pope John Paul II,2005-04-07,8.0,8.0,7.9,8.0,47,11,9.0,7.0
227430,PAPACY.RATZINGER,Joseph Ratzinger (Germany) to succeed Pope John Paul II,2005-04-08,8.0,8.0,7.0,8.0,51,4,9.0,7.0
227430,PAPACY.RATZINGER,Joseph Ratzinger (Germany) to succeed Pope John Paul II,2005-04-09,7.8,7.8,7.0,7.6,153,102,9.0,7.0
227430,PAPACY.RATZINGER,Joseph Ratzinger (Germany) to succeed Pope John Paul II,2005-04-10,7.9,8.2,7.9,7.0,176,23,9.0,7.0
227430,PAPACY.RATZINGER,Joseph Ratzinger (Germany) to succeed Pope John Paul II,2005-04-11,9.4,9.4,9.3,8.2,176,2,9.4,7.0
227430,PAPACY.RATZINGER,Joseph Ratzinger (Germany) to succeed Pope John Paul II,2005-04-12,8.1,8.2,6.8,8.0,360,184,9.4,6.8
227430,PAPACY.RATZINGER,Joseph Ratzinger (Germany) to succeed Pope John Paul II,2005-04-13,7.0,21.0,6.9,15.0,513,299,21.0,6.8
227430,PAPACY.RATZINGER,Joseph Ratzinger (Germany) to succeed Pope John Paul II,2005-04-14,19.0,23.0,17.0,19.0,798,452,23.0,6.8
227430,PAPACY.RATZINGER,Joseph Ratzinger (Germany) to succeed Pope John Paul II,2005-04-15,17.0,19.8,16.0,17.0,887,233,23.0,6.8
227430,PAPACY.RATZINGER,Joseph Ratzinger (Germany) to succeed Pope John Paul II,2005-04-16,18.9,19.8,17.0,19.2,1101,227,23.0,6.8
227430,PAPACY.RATZINGER,Joseph Ratzinger (Germany) to succeed Pope John Paul II,2005-04-17,18.6,21.5,18.6,19.0,1725,672,23.0,6.8
227430,PAPACY.RATZINGER,Joseph Ratzinger (Germany) to succeed Pope John Paul II,2005-04-18,19.0,20.8,12.0,15.1,2068,1708,23.0,6.8
