market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
705993,TIGER.PLAYS.APR10,Tiger Woods to play in PGA Tour event before 30 Apr 2010,2009-12-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705993,TIGER.PLAYS.APR10,Tiger Woods to play in PGA Tour event before 30 Apr 2010,2009-12-21,54.0,60.0,54.0,60.0,22,22,60.0,54.0
705993,TIGER.PLAYS.APR10,Tiger Woods to play in PGA Tour event before 30 Apr 2010,2009-12-22,62.0,62.0,62.0,62.0,23,1,62.0,54.0
705993,TIGER.PLAYS.APR10,Tiger Woods to play in PGA Tour event before 30 Apr 2010,2009-12-23,68.0,68.0,68.0,68.0,23,10,68.0,54.0
705993,TIGER.PLAYS.APR10,Tiger Woods to play in PGA Tour event before 30 Apr 2010,2009-12-24,70.0,70.0,68.0,70.0,28,5,70.0,54.0
705993,TIGER.PLAYS.APR10,Tiger Woods to play in PGA Tour event before 30 Apr 2010,2009-12-25,70.0,70.0,70.0,70.0,30,2,70.0,54.0
705993,TIGER.PLAYS.APR10,Tiger Woods to play in PGA Tour event before 30 Apr 2010,2009-12-26,0.0,0.0,0.0,70.0,30,0,70.0,54.0
705993,TIGER.PLAYS.APR10,Tiger Woods to play in PGA Tour event before 30 Apr 2010,2009-12-27,0.0,0.0,0.0,70.0,30,0,70.0,54.0
705993,TIGER.PLAYS.APR10,Tiger Woods to play in PGA Tour event before 30 Apr 2010,2009-12-28,55.0,65.0,50.0,65.0,52,27,70.0,50.0
705993,TIGER.PLAYS.APR10,Tiger Woods to play in PGA Tour event before 30 Apr 2010,2009-12-29,55.0,55.0,55.0,55.0,52,1,70.0,50.0
705993,TIGER.PLAYS.APR10,Tiger Woods to play in PGA Tour event before 30 Apr 2010,2009-12-30,0.0,0.0,0.0,55.0,52,0,70.0,50.0
705993,TIGER.PLAYS.APR10,Tiger Woods to play in PGA Tour event before 30 Apr 2010,2009-12-31,55.0,55.0,50.0,50.0,88,53,70.0,50.0
705993,TIGER.PLAYS.APR10,Tiger Woods to play in PGA Tour event before 30 Apr 2010,2010-01-01,0.0,0.0,0.0,50.0,88,0,70.0,50.0
705993,TIGER.PLAYS.APR10,Tiger Woods to play in PGA Tour event before 30 Apr 2010,2010-01-02,55.0,55.0,45.0,46.0,109,37,70.0,45.0
705993,TIGER.PLAYS.APR10,Tiger Woods to play in PGA Tour event before 30 Apr 2010,2010-01-03,40.0,43.0,31.4,31.4,118,11,70.0,31.4
705993,TIGER.PLAYS.APR10,Tiger Woods to play in PGA Tour event before 30 Apr 2010,2010-01-04,40.0,45.0,35.0,45.0,164,90,70.0,31.4
705993,TIGER.PLAYS.APR10,Tiger Woods to play in PGA Tour event before 30 Apr 2010,2010-01-05,50.0,50.0,44.0,50.0,189,25,70.0,31.4
705993,TIGER.PLAYS.APR10,Tiger Woods to play in PGA Tour event before 30 Apr 2010,2010-01-06,55.0,63.0,44.0,44.0,234,46,70.0,31.4
705993,TIGER.PLAYS.APR10,Tiger Woods to play in PGA Tour event before 30 Apr 2010,2010-01-07,0.0,0.0,0.0,44.0,234,0,70.0,31.4
705993,TIGER.PLAYS.APR10,Tiger Woods to play in PGA Tour event before 30 Apr 2010,2010-01-08,54.0,54.0,54.0,54.0,235,1,70.0,31.4
