market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-01-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-01-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-01-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-01-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-01-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-01-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-01-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-01-30,8.7,8.7,8.7,8.7,5,5,8.7,8.7
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-01-31,0.0,0.0,0.0,8.0,5,0,8.7,8.7
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-01,9.0,9.0,9.0,9.0,11,6,9.0,8.7
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-02,0.0,0.0,0.0,9.0,11,0,9.0,8.7
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-03,0.0,0.0,0.0,9.0,11,0,9.0,8.7
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-04,8.1,8.1,8.1,9.0,15,4,9.0,8.1
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-05,0.0,0.0,0.0,9.0,15,0,9.0,8.1
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-06,7.0,7.0,7.0,7.0,23,8,9.0,7.0
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-07,7.0,7.5,7.0,7.0,56,33,9.0,7.0
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-08,0.0,0.0,0.0,7.0,56,0,9.0,7.0
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-09,7.0,7.0,7.0,0.0,66,10,9.0,7.0
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-10,0.0,0.0,0.0,5.5,66,0,9.0,7.0
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-11,5.1,5.1,5.1,0.0,66,5,9.0,5.1
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-12,0.0,0.0,0.0,0.0,66,0,9.0,5.1
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-13,0.0,0.0,0.0,0.0,66,0,9.0,5.1
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-14,0.0,0.0,0.0,7.2,66,0,9.0,5.1
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-15,0.0,0.0,0.0,6.8,66,0,9.0,5.1
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-16,7.4,7.4,7.4,0.0,81,15,9.0,5.1
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-17,0.0,0.0,0.0,0.0,81,0,9.0,5.1
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-18,6.6,6.6,6.6,0.0,86,5,9.0,5.1
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-19,5.8,5.8,5.8,0.0,87,1,9.0,5.1
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-20,0.0,0.0,0.0,5.1,87,0,9.0,5.1
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-21,0.0,0.0,0.0,5.1,87,0,9.0,5.1
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-22,2.5,4.0,2.5,2.5,93,6,9.0,2.5
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-23,4.0,5.0,4.0,0.0,97,4,9.0,2.5
444316,DIRECTOR.EASTWOOD,Clint Eastwood (Letters from Iwo Jima) to Win Best Director,2007-02-24,0.0,0.0,0.0,0.0,97,0,9.0,2.5
