market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
315567,PICTURE.CRASH,Crash to Win,2005-12-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
315567,PICTURE.CRASH,Crash to Win,2005-12-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
315567,PICTURE.CRASH,Crash to Win,2005-12-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
315567,PICTURE.CRASH,Crash to Win,2005-12-17,0.0,0.0,0.0,5.0,0,0,0.0,0.0
315567,PICTURE.CRASH,Crash to Win,2005-12-18,0.0,0.0,0.0,5.0,0,0,0.0,0.0
315567,PICTURE.CRASH,Crash to Win,2005-12-19,0.0,0.0,0.0,5.0,0,0,0.0,0.0
315567,PICTURE.CRASH,Crash to Win,2005-12-20,0.0,0.0,0.0,1.0,0,0,0.0,0.0
315567,PICTURE.CRASH,Crash to Win,2005-12-21,1.5,1.5,1.5,1.0,10,10,1.5,1.5
315567,PICTURE.CRASH,Crash to Win,2005-12-22,1.0,1.0,0.7,1.0,110,100,1.5,0.7
315567,PICTURE.CRASH,Crash to Win,2005-12-23,0.0,0.0,0.0,0.5,110,0,1.5,0.7
315567,PICTURE.CRASH,Crash to Win,2005-12-24,0.0,0.0,0.0,0.5,110,0,1.5,0.7
315567,PICTURE.CRASH,Crash to Win,2005-12-25,0.0,0.0,0.0,0.7,110,0,1.5,0.7
315567,PICTURE.CRASH,Crash to Win,2005-12-26,0.0,0.0,0.0,0.7,110,0,1.5,0.7
315567,PICTURE.CRASH,Crash to Win,2005-12-27,1.8,1.8,1.8,0.7,115,5,1.8,0.7
315567,PICTURE.CRASH,Crash to Win,2005-12-28,1.9,1.9,1.8,1.9,125,10,1.9,0.7
315567,PICTURE.CRASH,Crash to Win,2005-12-29,1.8,3.0,1.8,3.0,143,18,3.0,0.7
315567,PICTURE.CRASH,Crash to Win,2005-12-30,2.8,2.8,2.8,0.0,153,10,3.0,0.7
315567,PICTURE.CRASH,Crash to Win,2005-12-31,2.8,2.8,2.8,5.0,164,11,3.0,0.7
315567,PICTURE.CRASH,Crash to Win,2006-01-01,0.0,0.0,0.0,5.0,164,0,3.0,0.7
315567,PICTURE.CRASH,Crash to Win,2006-01-02,3.0,3.0,3.0,2.0,165,1,3.0,0.7
315567,PICTURE.CRASH,Crash to Win,2006-01-03,2.1,2.8,2.1,3.0,195,30,3.0,0.7
315567,PICTURE.CRASH,Crash to Win,2006-01-04,5.4,5.4,5.4,3.0,205,10,5.4,0.7
315567,PICTURE.CRASH,Crash to Win,2006-01-05,6.0,6.0,5.2,4.0,231,26,6.0,0.7
315567,PICTURE.CRASH,Crash to Win,2006-01-06,7.8,7.8,7.8,7.8,241,10,7.8,0.7
315567,PICTURE.CRASH,Crash to Win,2006-01-07,6.1,6.1,6.1,7.8,241,1,7.8,0.7
315567,PICTURE.CRASH,Crash to Win,2006-01-08,6.2,6.2,6.2,0.0,251,10,7.8,0.7
315567,PICTURE.CRASH,Crash to Win,2006-01-09,7.0,7.0,6.2,7.0,258,7,7.8,0.7
315567,PICTURE.CRASH,Crash to Win,2006-01-10,6.2,6.2,6.1,6.5,265,14,7.8,0.7
315567,PICTURE.CRASH,Crash to Win,2006-01-11,0.0,0.0,0.0,6.5,265,0,7.8,0.7
315567,PICTURE.CRASH,Crash to Win,2006-01-12,6.9,8.3,6.1,6.3,302,40,8.3,0.7
315567,PICTURE.CRASH,Crash to Win,2006-01-13,6.5,6.5,6.5,6.5,304,2,8.3,0.7
315567,PICTURE.CRASH,Crash to Win,2006-01-14,0.0,0.0,0.0,6.5,304,0,8.3,0.7
315567,PICTURE.CRASH,Crash to Win,2006-01-15,6.2,6.5,6.2,6.2,302,8,8.3,0.7
315567,PICTURE.CRASH,Crash to Win,2006-01-16,6.2,10.5,6.1,6.1,388,87,10.5,0.7
315567,PICTURE.CRASH,Crash to Win,2006-01-17,6.1,9.0,6.0,9.0,402,15,10.5,0.7
315567,PICTURE.CRASH,Crash to Win,2006-01-18,1.2,8.9,1.2,8.6,466,70,10.5,0.7
315567,PICTURE.CRASH,Crash to Win,2006-01-19,8.0,8.5,8.0,8.0,488,32,10.5,0.7
315567,PICTURE.CRASH,Crash to Win,2006-01-20,3.0,3.0,2.1,3.0,488,18,10.5,0.7
315567,PICTURE.CRASH,Crash to Win,2006-01-21,2.2,6.0,2.2,6.0,502,21,10.5,0.7
