market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
315553,PICTURE.MUNICH,Munich to Win,2005-12-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
315553,PICTURE.MUNICH,Munich to Win,2005-12-15,21.0,25.0,21.0,0.0,16,16,25.0,21.0
315553,PICTURE.MUNICH,Munich to Win,2005-12-16,27.0,27.0,20.0,0.0,24,18,27.0,20.0
315553,PICTURE.MUNICH,Munich to Win,2005-12-17,24.7,37.0,24.5,30.0,83,59,37.0,20.0
315553,PICTURE.MUNICH,Munich to Win,2005-12-18,32.9,49.0,32.9,49.0,122,47,49.0,20.0
315553,PICTURE.MUNICH,Munich to Win,2005-12-19,29.5,38.9,25.0,38.9,220,118,49.0,20.0
315553,PICTURE.MUNICH,Munich to Win,2005-12-20,30.0,40.0,30.0,20.0,420,200,49.0,20.0
315553,PICTURE.MUNICH,Munich to Win,2005-12-21,27.0,37.0,25.1,27.0,495,107,49.0,20.0
315553,PICTURE.MUNICH,Munich to Win,2005-12-22,31.0,38.0,30.0,32.0,621,152,49.0,20.0
315553,PICTURE.MUNICH,Munich to Win,2005-12-23,35.0,35.0,21.0,32.0,707,125,49.0,20.0
315553,PICTURE.MUNICH,Munich to Win,2005-12-24,32.0,32.0,32.0,32.0,797,90,49.0,20.0
315553,PICTURE.MUNICH,Munich to Win,2005-12-25,25.0,27.9,25.0,32.0,798,7,49.0,20.0
315553,PICTURE.MUNICH,Munich to Win,2005-12-26,23.5,23.5,23.5,26.0,799,1,49.0,20.0
315553,PICTURE.MUNICH,Munich to Win,2005-12-27,21.0,28.0,21.0,27.0,813,20,49.0,20.0
315553,PICTURE.MUNICH,Munich to Win,2005-12-28,21.0,21.0,20.9,21.0,823,40,49.0,20.0
315553,PICTURE.MUNICH,Munich to Win,2005-12-29,28.8,28.8,28.8,21.0,833,10,49.0,20.0
315553,PICTURE.MUNICH,Munich to Win,2005-12-30,22.0,22.0,22.0,0.0,843,10,49.0,20.0
315553,PICTURE.MUNICH,Munich to Win,2005-12-31,27.0,27.0,26.9,21.0,843,6,49.0,20.0
315553,PICTURE.MUNICH,Munich to Win,2006-01-01,0.0,0.0,0.0,21.0,843,0,49.0,20.0
315553,PICTURE.MUNICH,Munich to Win,2006-01-02,21.0,22.8,20.0,20.0,870,37,49.0,20.0
315553,PICTURE.MUNICH,Munich to Win,2006-01-03,22.8,22.8,22.0,20.0,900,31,49.0,20.0
315553,PICTURE.MUNICH,Munich to Win,2006-01-04,18.0,18.0,16.0,17.0,894,29,49.0,16.0
