market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
768621,S.ACTRESS:WEAVER,Jacki Weaver (Silver Linings Playbook) to win the Academy Award for Best Supporting Actress,2012-12-10,,,,,0,0,,
768621,S.ACTRESS:WEAVER,Jacki Weaver (Silver Linings Playbook) to win the Academy Award for Best Supporting Actress,2012-12-11,,,,,0,0,,
768621,S.ACTRESS:WEAVER,Jacki Weaver (Silver Linings Playbook) to win the Academy Award for Best Supporting Actress,2012-12-12,,,,,0,0,,
768621,S.ACTRESS:WEAVER,Jacki Weaver (Silver Linings Playbook) to win the Academy Award for Best Supporting Actress,2012-12-13,,,,,0,0,,
768621,S.ACTRESS:WEAVER,Jacki Weaver (Silver Linings Playbook) to win the Academy Award for Best Supporting Actress,2012-12-14,,,,,0,0,,
768621,S.ACTRESS:WEAVER,Jacki Weaver (Silver Linings Playbook) to win the Academy Award for Best Supporting Actress,2012-12-15,,,,,0,0,,
768621,S.ACTRESS:WEAVER,Jacki Weaver (Silver Linings Playbook) to win the Academy Award for Best Supporting Actress,2012-12-16,,,,,0,0,,
768621,S.ACTRESS:WEAVER,Jacki Weaver (Silver Linings Playbook) to win the Academy Award for Best Supporting Actress,2012-12-17,,,,,0,0,,
768621,S.ACTRESS:WEAVER,Jacki Weaver (Silver Linings Playbook) to win the Academy Award for Best Supporting Actress,2012-12-18,,,,,0,0,,
768621,S.ACTRESS:WEAVER,Jacki Weaver (Silver Linings Playbook) to win the Academy Award for Best Supporting Actress,2012-12-19,,,,,0,0,,
768621,S.ACTRESS:WEAVER,Jacki Weaver (Silver Linings Playbook) to win the Academy Award for Best Supporting Actress,2012-12-20,,,,,0,0,,
768621,S.ACTRESS:WEAVER,Jacki Weaver (Silver Linings Playbook) to win the Academy Award for Best Supporting Actress,2012-12-21,,,,,0,0,,
768621,S.ACTRESS:WEAVER,Jacki Weaver (Silver Linings Playbook) to win the Academy Award for Best Supporting Actress,2012-12-22,,,,,0,0,,
768621,S.ACTRESS:WEAVER,Jacki Weaver (Silver Linings Playbook) to win the Academy Award for Best Supporting Actress,2012-12-23,,,,,0,0,,
768621,S.ACTRESS:WEAVER,Jacki Weaver (Silver Linings Playbook) to win the Academy Award for Best Supporting Actress,2012-12-24,,,,,0,0,,
768621,S.ACTRESS:WEAVER,Jacki Weaver (Silver Linings Playbook) to win the Academy Award for Best Supporting Actress,2012-12-25,,,,,0,0,,
768621,S.ACTRESS:WEAVER,Jacki Weaver (Silver Linings Playbook) to win the Academy Award for Best Supporting Actress,2012-12-26,,,,,0,0,,
768621,S.ACTRESS:WEAVER,Jacki Weaver (Silver Linings Playbook) to win the Academy Award for Best Supporting Actress,2012-12-27,,,,,0,0,,
