market id,market symbol,market name,trade quantity,trade price,date/time [utc]
754805,NOM.BEST.PIC:MIDNIGHT.PARIS,Midnight in Paris to be nominated for Academy Award for Best Picture,20,69.0,Dec/14/2011 22:14:36
754805,NOM.BEST.PIC:MIDNIGHT.PARIS,Midnight in Paris to be nominated for Academy Award for Best Picture,2,76.0,Dec/16/2011 02:15:13
754805,NOM.BEST.PIC:MIDNIGHT.PARIS,Midnight in Paris to be nominated for Academy Award for Best Picture,2,55.0,Dec/29/2011 03:04:53
754805,NOM.BEST.PIC:MIDNIGHT.PARIS,Midnight in Paris to be nominated for Academy Award for Best Picture,2,65.0,Dec/30/2011 12:04:40
754805,NOM.BEST.PIC:MIDNIGHT.PARIS,Midnight in Paris to be nominated for Academy Award for Best Picture,1,65.0,Dec/30/2011 13:16:02
754805,NOM.BEST.PIC:MIDNIGHT.PARIS,Midnight in Paris to be nominated for Academy Award for Best Picture,3,65.0,Jan/05/2012 22:28:15
754805,NOM.BEST.PIC:MIDNIGHT.PARIS,Midnight in Paris to be nominated for Academy Award for Best Picture,8,55.0,Jan/05/2012 22:29:31
754805,NOM.BEST.PIC:MIDNIGHT.PARIS,Midnight in Paris to be nominated for Academy Award for Best Picture,2,55.0,Jan/05/2012 22:29:31
754805,NOM.BEST.PIC:MIDNIGHT.PARIS,Midnight in Paris to be nominated for Academy Award for Best Picture,1,57.5,Jan/07/2012 02:37:06
754805,NOM.BEST.PIC:MIDNIGHT.PARIS,Midnight in Paris to be nominated for Academy Award for Best Picture,5,80.0,Jan/09/2012 04:01:35
754805,NOM.BEST.PIC:MIDNIGHT.PARIS,Midnight in Paris to be nominated for Academy Award for Best Picture,9,95.0,Jan/09/2012 04:03:27
754805,NOM.BEST.PIC:MIDNIGHT.PARIS,Midnight in Paris to be nominated for Academy Award for Best Picture,4,88.0,Jan/16/2012 03:39:42
754805,NOM.BEST.PIC:MIDNIGHT.PARIS,Midnight in Paris to be nominated for Academy Award for Best Picture,1,94.1,Jan/17/2012 05:00:47
754805,NOM.BEST.PIC:MIDNIGHT.PARIS,Midnight in Paris to be nominated for Academy Award for Best Picture,1,89.0,Jan/20/2012 02:57:21
754805,NOM.BEST.PIC:MIDNIGHT.PARIS,Midnight in Paris to be nominated for Academy Award for Best Picture,3,89.0,Jan/23/2012 15:41:46
754805,NOM.BEST.PIC:MIDNIGHT.PARIS,Midnight in Paris to be nominated for Academy Award for Best Picture,4,91.5,Jan/24/2012 04:16:44
754805,NOM.BEST.PIC:MIDNIGHT.PARIS,Midnight in Paris to be nominated for Academy Award for Best Picture,6,89.0,Jan/24/2012 13:48:58
