market id,market symbol,market name,trade quantity,trade price,date/time [utc]
105400,IDOL3.HUFF(G),George Huff to Win,10,11.0,Mar/17/2004 00:59:58
105400,IDOL3.HUFF(G),George Huff to Win,3,13.0,Mar/17/2004 18:47:06
105400,IDOL3.HUFF(G),George Huff to Win,10,13.0,Mar/17/2004 19:26:59
105400,IDOL3.HUFF(G),George Huff to Win,6,10.0,Mar/17/2004 20:07:52
105400,IDOL3.HUFF(G),George Huff to Win,1,13.0,Mar/18/2004 02:09:50
105400,IDOL3.HUFF(G),George Huff to Win,60,10.0,Mar/18/2004 21:25:02
105400,IDOL3.HUFF(G),George Huff to Win,3,10.0,Mar/18/2004 22:35:08
105400,IDOL3.HUFF(G),George Huff to Win,22,10.0,Mar/18/2004 23:12:15
105400,IDOL3.HUFF(G),George Huff to Win,10,9.5,Mar/20/2004 01:52:39
105400,IDOL3.HUFF(G),George Huff to Win,2,9.5,Mar/23/2004 12:59:11
105400,IDOL3.HUFF(G),George Huff to Win,10,9.5,Mar/24/2004 01:16:51
105400,IDOL3.HUFF(G),George Huff to Win,9,12.0,Mar/24/2004 04:14:58
105400,IDOL3.HUFF(G),George Huff to Win,40,10.0,Mar/24/2004 19:41:25
105400,IDOL3.HUFF(G),George Huff to Win,75,10.0,Mar/24/2004 22:11:21
105400,IDOL3.HUFF(G),George Huff to Win,100,9.0,Mar/27/2004 20:07:18
105400,IDOL3.HUFF(G),George Huff to Win,3,8.0,Mar/28/2004 14:07:25
105400,IDOL3.HUFF(G),George Huff to Win,30,8.0,Mar/28/2004 14:07:25
105400,IDOL3.HUFF(G),George Huff to Win,10,10.0,Mar/29/2004 04:12:06
105400,IDOL3.HUFF(G),George Huff to Win,10,10.0,Mar/31/2004 00:17:19
105400,IDOL3.HUFF(G),George Huff to Win,7,10.0,Mar/31/2004 00:19:06
105400,IDOL3.HUFF(G),George Huff to Win,1,10.0,Mar/31/2004 01:54:59
105400,IDOL3.HUFF(G),George Huff to Win,10,11.0,Mar/31/2004 02:08:17
105400,IDOL3.HUFF(G),George Huff to Win,90,11.0,Mar/31/2004 14:15:33
105400,IDOL3.HUFF(G),George Huff to Win,50,11.0,Mar/31/2004 14:32:40
105400,IDOL3.HUFF(G),George Huff to Win,50,11.0,Mar/31/2004 17:09:35
105400,IDOL3.HUFF(G),George Huff to Win,9,9.0,Mar/31/2004 21:16:16
105400,IDOL3.HUFF(G),George Huff to Win,7,9.0,Mar/31/2004 23:12:46
105400,IDOL3.HUFF(G),George Huff to Win,15,9.0,Mar/31/2004 23:16:58
105400,IDOL3.HUFF(G),George Huff to Win,100,12.0,Apr/01/2004 12:26:16
105400,IDOL3.HUFF(G),George Huff to Win,1,11.0,Apr/03/2004 16:47:14
105400,IDOL3.HUFF(G),George Huff to Win,2,12.7,Apr/03/2004 22:16:17
105400,IDOL3.HUFF(G),George Huff to Win,8,13.0,Apr/03/2004 22:16:17
105400,IDOL3.HUFF(G),George Huff to Win,7,11.0,Apr/04/2004 00:10:50
105400,IDOL3.HUFF(G),George Huff to Win,31,13.0,Apr/04/2004 19:35:33
105400,IDOL3.HUFF(G),George Huff to Win,2,10.4,Apr/06/2004 23:19:29
105400,IDOL3.HUFF(G),George Huff to Win,1,13.0,Apr/07/2004 00:40:05
105400,IDOL3.HUFF(G),George Huff to Win,100,18.0,Apr/07/2004 11:28:49
105400,IDOL3.HUFF(G),George Huff to Win,10,20.0,Apr/07/2004 13:16:35
105400,IDOL3.HUFF(G),George Huff to Win,60,20.0,Apr/07/2004 15:10:28
105400,IDOL3.HUFF(G),George Huff to Win,20,20.0,Apr/07/2004 15:12:21
105400,IDOL3.HUFF(G),George Huff to Win,10,20.0,Apr/07/2004 15:16:51
105400,IDOL3.HUFF(G),George Huff to Win,5,23.5,Apr/07/2004 19:25:59
105400,IDOL3.HUFF(G),George Huff to Win,1,20.1,Apr/07/2004 20:15:24
105400,IDOL3.HUFF(G),George Huff to Win,5,20.1,Apr/07/2004 20:28:58
105400,IDOL3.HUFF(G),George Huff to Win,5,20.0,Apr/07/2004 21:03:30
105400,IDOL3.HUFF(G),George Huff to Win,4,20.1,Apr/07/2004 21:03:30
105400,IDOL3.HUFF(G),George Huff to Win,1,20.0,Apr/08/2004 00:49:11
105400,IDOL3.HUFF(G),George Huff to Win,1,25.0,Apr/08/2004 00:51:27
105400,IDOL3.HUFF(G),George Huff to Win,75,22.0,Apr/08/2004 15:47:57
105400,IDOL3.HUFF(G),George Huff to Win,39,21.5,Apr/08/2004 15:47:57
105400,IDOL3.HUFF(G),George Huff to Win,10,20.0,Apr/08/2004 20:54:20
105400,IDOL3.HUFF(G),George Huff to Win,100,21.0,Apr/09/2004 07:28:15
105400,IDOL3.HUFF(G),George Huff to Win,100,21.0,Apr/09/2004 07:28:26
105400,IDOL3.HUFF(G),George Huff to Win,1,23.0,Apr/10/2004 00:38:31
105400,IDOL3.HUFF(G),George Huff to Win,1,21.0,Apr/10/2004 23:38:04
105400,IDOL3.HUFF(G),George Huff to Win,21,23.0,Apr/11/2004 07:47:36
105400,IDOL3.HUFF(G),George Huff to Win,1,23.0,Apr/11/2004 08:16:37
105400,IDOL3.HUFF(G),George Huff to Win,2,21.0,Apr/11/2004 21:01:50
105400,IDOL3.HUFF(G),George Huff to Win,1,23.0,Apr/12/2004 02:35:35
105400,IDOL3.HUFF(G),George Huff to Win,50,22.5,Apr/13/2004 17:23:18
105400,IDOL3.HUFF(G),George Huff to Win,3,22.5,Apr/13/2004 23:14:58
105400,IDOL3.HUFF(G),George Huff to Win,47,23.5,Apr/14/2004 16:59:04
105400,IDOL3.HUFF(G),George Huff to Win,2,20.0,Apr/15/2004 00:07:58
105400,IDOL3.HUFF(G),George Huff to Win,10,19.0,Apr/15/2004 00:16:05
105400,IDOL3.HUFF(G),George Huff to Win,10,19.0,Apr/15/2004 00:59:34
105400,IDOL3.HUFF(G),George Huff to Win,96,17.8,Apr/15/2004 01:09:05
105400,IDOL3.HUFF(G),George Huff to Win,27,17.4,Apr/15/2004 01:09:24
105400,IDOL3.HUFF(G),George Huff to Win,5,11.0,Apr/15/2004 03:19:46
105400,IDOL3.HUFF(G),George Huff to Win,5,19.0,Apr/15/2004 04:41:35
105400,IDOL3.HUFF(G),George Huff to Win,10,13.0,Apr/15/2004 12:20:23
105400,IDOL3.HUFF(G),George Huff to Win,3,13.0,Apr/15/2004 12:53:52
105400,IDOL3.HUFF(G),George Huff to Win,87,13.0,Apr/15/2004 13:00:57
105400,IDOL3.HUFF(G),George Huff to Win,10,15.9,Apr/15/2004 17:01:12
105400,IDOL3.HUFF(G),George Huff to Win,40,15.0,Apr/15/2004 21:06:27
105400,IDOL3.HUFF(G),George Huff to Win,1,14.0,Apr/15/2004 21:48:34
105400,IDOL3.HUFF(G),George Huff to Win,9,15.0,Apr/15/2004 21:51:54
105400,IDOL3.HUFF(G),George Huff to Win,5,14.9,Apr/15/2004 21:51:54
105400,IDOL3.HUFF(G),George Huff to Win,8,15.0,Apr/15/2004 21:52:40
105400,IDOL3.HUFF(G),George Huff to Win,750,14.1,Apr/16/2004 05:38:58
105400,IDOL3.HUFF(G),George Huff to Win,750,14.9,Apr/16/2004 05:39:01
105400,IDOL3.HUFF(G),George Huff to Win,24,15.0,Apr/16/2004 07:21:20
105400,IDOL3.HUFF(G),George Huff to Win,1,15.0,Apr/16/2004 13:32:27
105400,IDOL3.HUFF(G),George Huff to Win,1,15.0,Apr/16/2004 14:09:50
105400,IDOL3.HUFF(G),George Huff to Win,1,15.0,Apr/16/2004 20:04:35
105400,IDOL3.HUFF(G),George Huff to Win,565,14.5,Apr/17/2004 09:53:44
105400,IDOL3.HUFF(G),George Huff to Win,5,14.8,Apr/17/2004 14:36:35
105400,IDOL3.HUFF(G),George Huff to Win,25,15.0,Apr/17/2004 14:36:35
105400,IDOL3.HUFF(G),George Huff to Win,10,14.0,Apr/17/2004 18:19:56
105400,IDOL3.HUFF(G),George Huff to Win,565,15.0,Apr/19/2004 05:42:14
105400,IDOL3.HUFF(G),George Huff to Win,20,17.0,Apr/20/2004 16:26:31
105400,IDOL3.HUFF(G),George Huff to Win,1,14.5,Apr/20/2004 18:38:45
105400,IDOL3.HUFF(G),George Huff to Win,1,17.0,Apr/20/2004 20:58:20
105400,IDOL3.HUFF(G),George Huff to Win,26,17.0,Apr/20/2004 23:29:28
105400,IDOL3.HUFF(G),George Huff to Win,10,14.5,Apr/21/2004 00:17:02
105400,IDOL3.HUFF(G),George Huff to Win,9,14.5,Apr/21/2004 00:17:34
105400,IDOL3.HUFF(G),George Huff to Win,1,14.0,Apr/21/2004 00:20:50
105400,IDOL3.HUFF(G),George Huff to Win,2,7.0,Apr/21/2004 00:51:01
105400,IDOL3.HUFF(G),George Huff to Win,4,13.0,Apr/21/2004 01:43:22
105400,IDOL3.HUFF(G),George Huff to Win,5,12.5,Apr/21/2004 01:43:22
105400,IDOL3.HUFF(G),George Huff to Win,2,10.4,Apr/21/2004 03:33:05
105400,IDOL3.HUFF(G),George Huff to Win,10,11.0,Apr/21/2004 17:30:35
105400,IDOL3.HUFF(G),George Huff to Win,10,11.0,Apr/21/2004 17:30:35
105400,IDOL3.HUFF(G),George Huff to Win,10,11.0,Apr/21/2004 19:41:59
105400,IDOL3.HUFF(G),George Huff to Win,5,13.0,Apr/21/2004 23:40:01
105400,IDOL3.HUFF(G),George Huff to Win,1,13.0,Apr/22/2004 00:58:52
105400,IDOL3.HUFF(G),George Huff to Win,5,14.0,Apr/22/2004 02:13:34
105400,IDOL3.HUFF(G),George Huff to Win,1,14.0,Apr/22/2004 03:18:14
105400,IDOL3.HUFF(G),George Huff to Win,3,14.0,Apr/22/2004 12:44:17
105400,IDOL3.HUFF(G),George Huff to Win,100,17.0,Apr/22/2004 15:07:44
105400,IDOL3.HUFF(G),George Huff to Win,20,16.0,Apr/22/2004 16:20:42
105400,IDOL3.HUFF(G),George Huff to Win,20,16.0,Apr/22/2004 16:21:40
105400,IDOL3.HUFF(G),George Huff to Win,30,16.0,Apr/22/2004 16:30:25
105400,IDOL3.HUFF(G),George Huff to Win,10,16.0,Apr/22/2004 18:25:14
105400,IDOL3.HUFF(G),George Huff to Win,20,16.0,Apr/22/2004 19:33:38
105400,IDOL3.HUFF(G),George Huff to Win,6,15.0,Apr/23/2004 15:28:28
105400,IDOL3.HUFF(G),George Huff to Win,55,15.0,Apr/23/2004 15:28:28
105400,IDOL3.HUFF(G),George Huff to Win,2,14.0,Apr/24/2004 19:33:01
105400,IDOL3.HUFF(G),George Huff to Win,5,14.0,Apr/25/2004 03:35:15
105400,IDOL3.HUFF(G),George Huff to Win,1,14.0,Apr/25/2004 04:14:31
105400,IDOL3.HUFF(G),George Huff to Win,20,16.0,Apr/25/2004 07:41:08
105400,IDOL3.HUFF(G),George Huff to Win,1,13.0,Apr/26/2004 01:18:21
105400,IDOL3.HUFF(G),George Huff to Win,1,13.0,Apr/26/2004 15:56:13
105400,IDOL3.HUFF(G),George Huff to Win,1,12.0,Apr/26/2004 20:32:43
105400,IDOL3.HUFF(G),George Huff to Win,25,14.0,Apr/27/2004 16:58:07
105400,IDOL3.HUFF(G),George Huff to Win,5,12.0,Apr/28/2004 00:17:36
105400,IDOL3.HUFF(G),George Huff to Win,1,12.0,Apr/28/2004 14:39:05
105400,IDOL3.HUFF(G),George Huff to Win,1,12.0,Apr/28/2004 14:53:58
105400,IDOL3.HUFF(G),George Huff to Win,22,12.0,Apr/28/2004 18:19:42
105400,IDOL3.HUFF(G),George Huff to Win,44,11.0,Apr/28/2004 21:57:51
105400,IDOL3.HUFF(G),George Huff to Win,1,11.0,Apr/29/2004 00:45:14
105400,IDOL3.HUFF(G),George Huff to Win,2,10.1,Apr/29/2004 00:45:30
105400,IDOL3.HUFF(G),George Huff to Win,2,10.1,Apr/29/2004 00:45:47
105400,IDOL3.HUFF(G),George Huff to Win,3,10.1,Apr/29/2004 00:46:18
105400,IDOL3.HUFF(G),George Huff to Win,10,10.1,Apr/29/2004 00:47:33
105400,IDOL3.HUFF(G),George Huff to Win,5,10.1,Apr/29/2004 00:51:07
105400,IDOL3.HUFF(G),George Huff to Win,9,10.1,Apr/29/2004 00:54:38
105400,IDOL3.HUFF(G),George Huff to Win,10,9.1,Apr/29/2004 00:55:48
105400,IDOL3.HUFF(G),George Huff to Win,22,11.0,Apr/29/2004 05:30:56
105400,IDOL3.HUFF(G),George Huff to Win,2,9.5,Apr/29/2004 11:56:08
105400,IDOL3.HUFF(G),George Huff to Win,25,10.0,Apr/29/2004 12:15:15
105400,IDOL3.HUFF(G),George Huff to Win,100,9.5,Apr/29/2004 12:16:31
105400,IDOL3.HUFF(G),George Huff to Win,100,10.0,Apr/29/2004 13:04:07
105400,IDOL3.HUFF(G),George Huff to Win,1,9.5,Apr/29/2004 14:33:17
105400,IDOL3.HUFF(G),George Huff to Win,5,9.5,Apr/29/2004 19:43:02
105400,IDOL3.HUFF(G),George Huff to Win,31,9.5,Apr/30/2004 03:32:38
105400,IDOL3.HUFF(G),George Huff to Win,1,9.5,May/03/2004 15:32:16
105400,IDOL3.HUFF(G),George Huff to Win,3,11.0,May/03/2004 17:22:26
105400,IDOL3.HUFF(G),George Huff to Win,20,9.5,May/04/2004 06:37:13
105400,IDOL3.HUFF(G),George Huff to Win,10,10.0,May/04/2004 17:33:11
105400,IDOL3.HUFF(G),George Huff to Win,5,10.0,May/05/2004 00:26:05
105400,IDOL3.HUFF(G),George Huff to Win,1,9.1,May/05/2004 00:48:37
105400,IDOL3.HUFF(G),George Huff to Win,1,9.1,May/05/2004 01:05:06
105400,IDOL3.HUFF(G),George Huff to Win,30,9.1,May/05/2004 01:35:32
105400,IDOL3.HUFF(G),George Huff to Win,1,9.1,May/05/2004 01:45:43
105400,IDOL3.HUFF(G),George Huff to Win,1,7.5,May/05/2004 17:17:12
105400,IDOL3.HUFF(G),George Huff to Win,10,7.1,May/05/2004 17:21:09
105400,IDOL3.HUFF(G),George Huff to Win,40,9.0,May/05/2004 21:08:25
