market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
335423,IDOL5.PARIS,Paris Bennett to Win,2006-02-16,29.0,29.0,17.0,4.0,17,17,29.0,17.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-02-17,18.0,19.9,15.0,17.0,75,58,29.0,15.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-02-18,13.0,13.0,13.0,15.0,75,1,29.0,13.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-02-19,17.0,17.0,16.0,16.0,105,38,29.0,13.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-02-20,16.1,18.5,16.1,16.1,118,16,29.0,13.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-02-21,16.1,19.9,15.0,18.5,723,620,29.0,13.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-02-22,17.1,18.0,12.0,15.4,1409,878,29.0,12.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-02-23,13.8,14.9,12.0,12.2,1913,601,29.0,12.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-02-24,12.5,14.6,12.1,14.5,2115,355,29.0,12.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-02-25,13.2,13.3,12.1,12.9,2192,101,29.0,12.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-02-26,12.1,12.8,12.1,12.3,2223,34,29.0,12.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-02-27,12.6,12.7,12.1,12.6,2359,140,29.0,12.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-02-28,12.7,14.9,11.6,13.6,2885,641,29.0,11.6
335423,IDOL5.PARIS,Paris Bennett to Win,2006-03-01,13.5,14.4,10.0,12.6,3237,702,29.0,10.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-03-02,11.0,11.9,9.0,9.2,3463,354,29.0,9.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-03-03,9.2,11.1,9.2,9.9,3648,245,29.0,9.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-03-04,10.0,10.9,10.0,10.7,3658,67,29.0,9.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-03-05,10.5,11.0,10.0,10.5,3811,230,29.0,9.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-03-06,10.5,11.5,9.5,10.5,3889,118,29.0,9.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-03-07,11.0,11.8,7.0,10.5,4310,757,29.0,7.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-03-08,7.0,8.0,6.0,7.0,4381,538,29.0,6.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-03-09,7.1,7.7,6.5,7.1,4399,78,29.0,6.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-03-10,6.5,7.3,6.0,6.5,4448,105,29.0,6.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-03-11,6.6,7.2,6.6,6.8,4538,150,29.0,6.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-03-12,6.7,7.1,6.7,7.1,4600,202,29.0,6.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-03-13,6.7,7.2,6.7,6.7,4612,27,29.0,6.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-03-14,7.0,8.2,6.9,7.3,4846,327,29.0,6.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-03-15,7.2,7.8,7.0,7.4,4887,193,29.0,6.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-03-16,7.2,7.2,6.4,7.1,4906,30,29.0,6.0
335423,IDOL5.PARIS,Paris Bennett to Win,2006-03-17,7.0,7.0,6.3,6.3,4959,90,29.0,6.0
