market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
770252,BAFTA.DIR:LEE,Ang Lee (Life of Pi) to win the BAFTA Award for Best Director,2013-01-25,,,,,0,0,,
770252,BAFTA.DIR:LEE,Ang Lee (Life of Pi) to win the BAFTA Award for Best Director,2013-01-26,,,,,0,0,,
770252,BAFTA.DIR:LEE,Ang Lee (Life of Pi) to win the BAFTA Award for Best Director,2013-01-27,,,,,0,0,,
770252,BAFTA.DIR:LEE,Ang Lee (Life of Pi) to win the BAFTA Award for Best Director,2013-01-28,,,,,0,0,,
770252,BAFTA.DIR:LEE,Ang Lee (Life of Pi) to win the BAFTA Award for Best Director,2013-01-29,,,,,0,0,,
770252,BAFTA.DIR:LEE,Ang Lee (Life of Pi) to win the BAFTA Award for Best Director,2013-01-30,,,,,0,0,,
770252,BAFTA.DIR:LEE,Ang Lee (Life of Pi) to win the BAFTA Award for Best Director,2013-01-31,,,,,0,0,,
770252,BAFTA.DIR:LEE,Ang Lee (Life of Pi) to win the BAFTA Award for Best Director,2013-02-01,,,,,0,0,,
770252,BAFTA.DIR:LEE,Ang Lee (Life of Pi) to win the BAFTA Award for Best Director,2013-02-02,,,,,0,0,,
770252,BAFTA.DIR:LEE,Ang Lee (Life of Pi) to win the BAFTA Award for Best Director,2013-02-03,,,,,0,0,,
770252,BAFTA.DIR:LEE,Ang Lee (Life of Pi) to win the BAFTA Award for Best Director,2013-02-04,,,,,0,0,,
770252,BAFTA.DIR:LEE,Ang Lee (Life of Pi) to win the BAFTA Award for Best Director,2013-02-05,,,,,0,0,,
770252,BAFTA.DIR:LEE,Ang Lee (Life of Pi) to win the BAFTA Award for Best Director,2013-02-06,,,,,0,0,,
770252,BAFTA.DIR:LEE,Ang Lee (Life of Pi) to win the BAFTA Award for Best Director,2013-02-07,,,,,0,0,,
770252,BAFTA.DIR:LEE,Ang Lee (Life of Pi) to win the BAFTA Award for Best Director,2013-02-08,5.0,5.0,5.0,5.0,35,35,5.0,5.0
770252,BAFTA.DIR:LEE,Ang Lee (Life of Pi) to win the BAFTA Award for Best Director,2013-02-09,,,,5.0,35,0,5.0,5.0
770252,BAFTA.DIR:LEE,Ang Lee (Life of Pi) to win the BAFTA Award for Best Director,2013-02-10,14.0,14.0,7.5,7.5,43,8,14.0,5.0
