market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
768307,KEEPS.+$7.0M,Playing For Keeps to gross OVER $7.0M in opening weekend,2012-11-30,,,,,0,0,,
768307,KEEPS.+$7.0M,Playing For Keeps to gross OVER $7.0M in opening weekend,2012-12-01,,,,,0,0,,
768307,KEEPS.+$7.0M,Playing For Keeps to gross OVER $7.0M in opening weekend,2012-12-02,,,,,0,0,,
768307,KEEPS.+$7.0M,Playing For Keeps to gross OVER $7.0M in opening weekend,2012-12-03,58.0,58.0,28.0,28.0,82,82,58.0,28.0
768307,KEEPS.+$7.0M,Playing For Keeps to gross OVER $7.0M in opening weekend,2012-12-04,,,,28.0,82,0,58.0,28.0
768307,KEEPS.+$7.0M,Playing For Keeps to gross OVER $7.0M in opening weekend,2012-12-05,17.0,17.0,17.0,17.0,32,50,58.0,17.0
768307,KEEPS.+$7.0M,Playing For Keeps to gross OVER $7.0M in opening weekend,2012-12-06,,,,17.0,32,0,58.0,17.0
768307,KEEPS.+$7.0M,Playing For Keeps to gross OVER $7.0M in opening weekend,2012-12-07,15.0,20.0,9.0,20.0,24,56,58.0,9.0
768307,KEEPS.+$7.0M,Playing For Keeps to gross OVER $7.0M in opening weekend,2012-12-08,3.5,9.0,0.5,0.5,27,11,58.0,0.5
768307,KEEPS.+$7.0M,Playing For Keeps to gross OVER $7.0M in opening weekend,2012-12-09,0.5,0.5,0.1,0.1,30,5,58.0,0.1
