market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
770268,BULLET.HEAD.+$8.0M,Bullet to the Head to gross OVER $8.0M in opening weekend,2013-01-25,,,,,0,0,,
770268,BULLET.HEAD.+$8.0M,Bullet to the Head to gross OVER $8.0M in opening weekend,2013-01-26,,,,,0,0,,
770268,BULLET.HEAD.+$8.0M,Bullet to the Head to gross OVER $8.0M in opening weekend,2013-01-27,,,,,0,0,,
770268,BULLET.HEAD.+$8.0M,Bullet to the Head to gross OVER $8.0M in opening weekend,2013-01-28,,,,,0,0,,
770268,BULLET.HEAD.+$8.0M,Bullet to the Head to gross OVER $8.0M in opening weekend,2013-01-29,,,,,0,0,,
770268,BULLET.HEAD.+$8.0M,Bullet to the Head to gross OVER $8.0M in opening weekend,2013-01-30,60.0,60.0,60.0,60.0,10,10,60.0,60.0
770268,BULLET.HEAD.+$8.0M,Bullet to the Head to gross OVER $8.0M in opening weekend,2013-01-31,,,,60.0,10,0,60.0,60.0
770268,BULLET.HEAD.+$8.0M,Bullet to the Head to gross OVER $8.0M in opening weekend,2013-02-01,,,,60.0,10,0,60.0,60.0
770268,BULLET.HEAD.+$8.0M,Bullet to the Head to gross OVER $8.0M in opening weekend,2013-02-02,39.5,39.5,39.5,39.5,35,25,60.0,39.5
770268,BULLET.HEAD.+$8.0M,Bullet to the Head to gross OVER $8.0M in opening weekend,2013-02-03,,,,39.5,35,0,60.0,39.5
