market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,2012-08-10,,,,,0,0,,
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,2012-08-11,,,,,0,0,,
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,2012-08-12,,,,,0,0,,
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,2012-08-13,,,,,0,0,,
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,2012-08-14,,,,,0,0,,
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,2012-08-15,85.0,85.0,85.0,85.0,20,20,85.0,85.0
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,2012-08-16,95.0,95.0,95.0,95.0,21,1,95.0,85.0
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,2012-08-17,60.0,90.0,20.0,35.0,115,112,95.0,20.0
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,2012-08-18,25.0,35.0,5.0,14.0,175,168,95.0,5.0
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,2012-08-19,0.5,0.5,0.1,0.1,174,26,95.0,0.1
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,2012-08-20,0.1,0.1,0.1,0.1,174,108,95.0,0.1
