market id,market symbol,market name,trade quantity,trade price,date/time [utc]
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,20,85.0,Aug/15/2012 16:01:12
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,1,95.0,Aug/16/2012 11:42:45
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,5,60.0,Aug/17/2012 17:36:15
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,20,60.0,Aug/17/2012 17:36:15
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,1,90.0,Aug/17/2012 20:21:46
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,7,80.0,Aug/17/2012 23:34:34
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,10,75.0,Aug/18/2012 00:17:28
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,13,55.0,Aug/18/2012 01:27:58
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,1,50.0,Aug/18/2012 01:37:08
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,50,20.0,Aug/18/2012 03:46:26
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,3,35.0,Aug/18/2012 05:22:56
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,2,35.0,Aug/18/2012 05:24:35
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,10,25.0,Aug/18/2012 09:00:53
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,1,15.0,Aug/18/2012 09:20:07
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,2,28.9,Aug/18/2012 12:32:46
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,20,35.0,Aug/18/2012 12:35:07
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,1,25.0,Aug/18/2012 13:20:10
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,10,15.0,Aug/18/2012 14:20:30
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,19,9.5,Aug/18/2012 18:02:53
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,1,5.0,Aug/18/2012 18:24:15
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,19,5.5,Aug/18/2012 18:24:15
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,43,5.0,Aug/18/2012 18:55:31
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,10,5.0,Aug/18/2012 18:55:31
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,31,5.5,Aug/18/2012 18:55:31
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,1,14.0,Aug/19/2012 03:43:49
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,25,0.5,Aug/19/2012 15:14:52
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,1,0.1,Aug/19/2012 22:58:28
764283,EXPENDABLES.2.+$32.5M,The Expendables 2 to gross OVER $32.5M in opening weekend,108,0.1,Aug/20/2012 20:11:55
