market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
768837,THIS-IS-40.+$14.0M,This is 40 to gross OVER $14.0M in opening weekend,2012-12-14,,,,,0,0,,
768837,THIS-IS-40.+$14.0M,This is 40 to gross OVER $14.0M in opening weekend,2012-12-15,,,,,0,0,,
768837,THIS-IS-40.+$14.0M,This is 40 to gross OVER $14.0M in opening weekend,2012-12-16,,,,,0,0,,
768837,THIS-IS-40.+$14.0M,This is 40 to gross OVER $14.0M in opening weekend,2012-12-17,65.0,65.0,35.0,35.0,62,62,65.0,35.0
768837,THIS-IS-40.+$14.0M,This is 40 to gross OVER $14.0M in opening weekend,2012-12-18,75.0,75.0,33.0,33.0,62,47,75.0,33.0
768837,THIS-IS-40.+$14.0M,This is 40 to gross OVER $14.0M in opening weekend,2012-12-19,21.5,21.5,21.5,21.5,62,47,75.0,21.5
768837,THIS-IS-40.+$14.0M,This is 40 to gross OVER $14.0M in opening weekend,2012-12-20,,,,21.5,62,0,75.0,21.5
768837,THIS-IS-40.+$14.0M,This is 40 to gross OVER $14.0M in opening weekend,2012-12-21,,,,21.5,62,0,75.0,21.5
768837,THIS-IS-40.+$14.0M,This is 40 to gross OVER $14.0M in opening weekend,2012-12-22,,,,21.5,62,0,75.0,21.5
768837,THIS-IS-40.+$14.0M,This is 40 to gross OVER $14.0M in opening weekend,2012-12-23,,,,21.5,62,0,75.0,21.5
