market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
769997,HANSEL.GRETEL.+$24.0M,Hansel & Gretel: Witch Hunters to gross OVER $24.0M in opening weekend,2013-01-18,,,,,0,0,,
769997,HANSEL.GRETEL.+$24.0M,Hansel & Gretel: Witch Hunters to gross OVER $24.0M in opening weekend,2013-01-19,,,,,0,0,,
769997,HANSEL.GRETEL.+$24.0M,Hansel & Gretel: Witch Hunters to gross OVER $24.0M in opening weekend,2013-01-20,,,,,0,0,,
769997,HANSEL.GRETEL.+$24.0M,Hansel & Gretel: Witch Hunters to gross OVER $24.0M in opening weekend,2013-01-21,,,,,0,0,,
769997,HANSEL.GRETEL.+$24.0M,Hansel & Gretel: Witch Hunters to gross OVER $24.0M in opening weekend,2013-01-22,,,,,0,0,,
769997,HANSEL.GRETEL.+$24.0M,Hansel & Gretel: Witch Hunters to gross OVER $24.0M in opening weekend,2013-01-23,10.0,10.0,10.0,10.0,10,10,10.0,10.0
769997,HANSEL.GRETEL.+$24.0M,Hansel & Gretel: Witch Hunters to gross OVER $24.0M in opening weekend,2013-01-24,15.0,15.0,7.5,7.5,60,50,15.0,7.5
769997,HANSEL.GRETEL.+$24.0M,Hansel & Gretel: Witch Hunters to gross OVER $24.0M in opening weekend,2013-01-25,,,,7.5,60,0,15.0,7.5
769997,HANSEL.GRETEL.+$24.0M,Hansel & Gretel: Witch Hunters to gross OVER $24.0M in opening weekend,2013-01-26,,,,7.5,60,0,15.0,7.5
769997,HANSEL.GRETEL.+$24.0M,Hansel & Gretel: Witch Hunters to gross OVER $24.0M in opening weekend,2013-01-27,,,,7.5,60,0,15.0,7.5
