market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
762548,MAGIC.MIKE.+$15.0M,Magic Mike to gross OVER $15.0M in opening weekend,2012-06-22,,,,,0,0,,
762548,MAGIC.MIKE.+$15.0M,Magic Mike to gross OVER $15.0M in opening weekend,2012-06-23,,,,,0,0,,
762548,MAGIC.MIKE.+$15.0M,Magic Mike to gross OVER $15.0M in opening weekend,2012-06-24,,,,,0,0,,
762548,MAGIC.MIKE.+$15.0M,Magic Mike to gross OVER $15.0M in opening weekend,2012-06-25,96.0,96.0,96.0,96.0,5,5,96.0,96.0
762548,MAGIC.MIKE.+$15.0M,Magic Mike to gross OVER $15.0M in opening weekend,2012-06-26,94.0,94.0,87.0,89.0,43,38,96.0,87.0
762548,MAGIC.MIKE.+$15.0M,Magic Mike to gross OVER $15.0M in opening weekend,2012-06-27,96.0,98.0,94.5,98.0,126,85,98.0,87.0
762548,MAGIC.MIKE.+$15.0M,Magic Mike to gross OVER $15.0M in opening weekend,2012-06-28,97.9,97.9,96.6,96.6,426,300,98.0,87.0
762548,MAGIC.MIKE.+$15.0M,Magic Mike to gross OVER $15.0M in opening weekend,2012-06-29,98.9,99.4,98.9,99.4,626,208,99.4,87.0
762548,MAGIC.MIKE.+$15.0M,Magic Mike to gross OVER $15.0M in opening weekend,2012-06-30,99.9,99.9,99.9,99.9,626,505,99.9,87.0
762548,MAGIC.MIKE.+$15.0M,Magic Mike to gross OVER $15.0M in opening weekend,2012-07-01,,,,99.9,626,0,99.9,87.0
