market id,market symbol,market name,trade quantity,trade price,date/time [utc]
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,7,55.0,May/26/2012 19:17:32
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,5,35.0,May/26/2012 20:15:15
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,5,35.0,May/26/2012 20:15:15
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,1,54.0,May/26/2012 20:39:39
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,7,54.0,May/26/2012 21:58:30
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,10,55.0,May/26/2012 21:58:39
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,3,55.0,May/26/2012 21:58:39
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,3,75.0,May/26/2012 22:44:07
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,5,30.0,May/27/2012 02:24:39
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,5,30.0,May/27/2012 05:34:08
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,8,10.0,May/27/2012 07:35:16
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,2,10.0,May/27/2012 07:52:12
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,2,10.0,May/27/2012 07:54:19
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,2,8.0,May/27/2012 13:53:01
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,2,12.5,May/27/2012 14:00:56
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,5,12.5,May/27/2012 14:50:20
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,2,5.0,May/27/2012 15:01:34
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,3,12.5,May/27/2012 15:04:36
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,10,15.0,May/27/2012 15:04:45
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,2,7.5,May/27/2012 18:44:06
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,2,1.0,May/28/2012 17:41:29
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,5,0.5,May/28/2012 17:42:56
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,5,0.5,May/28/2012 17:44:37
761416,CHERNOBYL.+$12.0M,Chernobyl Diaries to gross OVER $12.0M in opening weekend,25,0.3,May/28/2012 17:44:43
