market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
766331,SINISTER.+$14.0M,Sinister to gross OVER $14.0M in opening weekend,2012-10-05,,,,,0,0,,
766331,SINISTER.+$14.0M,Sinister to gross OVER $14.0M in opening weekend,2012-10-06,,,,,0,0,,
766331,SINISTER.+$14.0M,Sinister to gross OVER $14.0M in opening weekend,2012-10-07,,,,,0,0,,
766331,SINISTER.+$14.0M,Sinister to gross OVER $14.0M in opening weekend,2012-10-08,,,,,0,0,,
766331,SINISTER.+$14.0M,Sinister to gross OVER $14.0M in opening weekend,2012-10-09,,,,,0,0,,
766331,SINISTER.+$14.0M,Sinister to gross OVER $14.0M in opening weekend,2012-10-10,,,,,0,0,,
766331,SINISTER.+$14.0M,Sinister to gross OVER $14.0M in opening weekend,2012-10-11,50.0,50.0,50.0,50.0,2,2,50.0,50.0
766331,SINISTER.+$14.0M,Sinister to gross OVER $14.0M in opening weekend,2012-10-12,50.0,50.0,50.0,50.0,6,4,50.0,50.0
766331,SINISTER.+$14.0M,Sinister to gross OVER $14.0M in opening weekend,2012-10-13,90.0,90.0,90.0,90.0,2,4,90.0,50.0
766331,SINISTER.+$14.0M,Sinister to gross OVER $14.0M in opening weekend,2012-10-14,99.9,99.9,99.9,99.9,0,2,99.9,50.0
