market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
765102,WORDS.+$9.0M,The Words to gross OVER $9.0M in opening weekend,2012-08-31,,,,,0,0,,
765102,WORDS.+$9.0M,The Words to gross OVER $9.0M in opening weekend,2012-09-01,,,,,0,0,,
765102,WORDS.+$9.0M,The Words to gross OVER $9.0M in opening weekend,2012-09-02,60.0,60.0,60.0,60.0,20,20,60.0,60.0
765102,WORDS.+$9.0M,The Words to gross OVER $9.0M in opening weekend,2012-09-03,55.0,60.0,55.0,60.0,50,30,60.0,55.0
765102,WORDS.+$9.0M,The Words to gross OVER $9.0M in opening weekend,2012-09-04,50.0,50.0,50.0,50.0,50,8,60.0,50.0
765102,WORDS.+$9.0M,The Words to gross OVER $9.0M in opening weekend,2012-09-05,,,,50.0,50,0,60.0,50.0
765102,WORDS.+$9.0M,The Words to gross OVER $9.0M in opening weekend,2012-09-06,17.5,18.0,17.5,17.5,70,22,60.0,17.5
765102,WORDS.+$9.0M,The Words to gross OVER $9.0M in opening weekend,2012-09-07,17.5,17.5,0.5,0.5,570,522,60.0,0.5
765102,WORDS.+$9.0M,The Words to gross OVER $9.0M in opening weekend,2012-09-08,0.5,0.5,0.2,0.2,566,30,60.0,0.2
765102,WORDS.+$9.0M,The Words to gross OVER $9.0M in opening weekend,2012-09-09,0.1,0.1,0.1,0.1,566,2,60.0,0.1
