market id,market symbol,market name,trade quantity,trade price,date/time [utc]
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,4,80.0,Jul/20/2012 23:54:35
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,12,80.0,Jul/21/2012 00:01:08
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,5,95.0,Jul/21/2012 19:02:25
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,5,96.1,Jul/22/2012 02:28:35
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,3,92.5,Jul/22/2012 04:02:48
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,2,92.5,Jul/22/2012 05:14:30
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,10,87.0,Jul/22/2012 05:22:01
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,12,86.5,Jul/22/2012 05:22:01
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,5,94.1,Jul/22/2012 12:50:22
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,8,92.0,Jul/22/2012 16:40:43
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,10,92.0,Jul/22/2012 17:10:12
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,9,95.0,Jul/22/2012 19:40:40
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,5,91.6,Jul/22/2012 19:43:28
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,3,91.6,Jul/22/2012 19:45:05
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,10,93.5,Jul/22/2012 19:55:46
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,1,95.0,Jul/22/2012 20:09:28
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,21,95.0,Jul/22/2012 20:10:37
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,10,96.9,Jul/22/2012 21:32:36
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,5,97.0,Jul/22/2012 21:32:49
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,2,97.0,Jul/22/2012 22:43:47
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,1,96.9,Jul/22/2012 23:31:14
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,5,94.5,Jul/22/2012 23:31:52
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,2,92.0,Jul/23/2012 00:04:26
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,3,92.2,Jul/23/2012 04:30:19
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,5,93.1,Jul/23/2012 04:30:19
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,8,99.5,Jul/23/2012 13:43:23
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,20,98.0,Jul/23/2012 17:27:37
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,5,98.5,Jul/23/2012 17:27:37
763481,DARK.KNIGHT.RISES:$150m+,The Dark Knight Rises to gross OVER $150.0M in opening weekend,3,99.4,Jul/23/2012 19:34:36
