market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-08,,,,,0,0,,
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-09,,,,,0,0,,
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-10,,,,,0,0,,
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-11,,,,,0,0,,
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-12,,,,,0,0,,
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-13,,,,,0,0,,
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-14,,,,,0,0,,
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-15,,,,,0,0,,
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-16,,,,,0,0,,
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-17,,,,,0,0,,
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-18,40.0,40.0,40.0,40.0,5,5,40.0,40.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-19,,,,40.0,5,0,40.0,40.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-20,45.0,45.0,45.0,45.0,10,5,45.0,40.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-21,,,,45.0,10,0,45.0,40.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-22,,,,45.0,10,0,45.0,40.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-23,,,,45.0,10,0,45.0,40.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-24,,,,45.0,10,0,45.0,40.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-25,,,,45.0,10,0,45.0,40.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-26,,,,45.0,10,0,45.0,40.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-27,,,,45.0,10,0,45.0,40.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-28,,,,45.0,10,0,45.0,40.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-29,50.0,50.0,50.0,50.0,11,1,50.0,40.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-30,,,,50.0,11,0,50.0,40.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-10-31,,,,50.0,11,0,50.0,40.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-11-01,,,,50.0,11,0,50.0,40.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-11-02,,,,50.0,11,0,50.0,40.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-11-03,,,,50.0,11,0,50.0,40.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-11-04,,,,50.0,11,0,50.0,40.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-11-05,30.0,63.0,30.0,63.0,11,6,63.0,30.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-11-06,,,,63.0,11,0,63.0,30.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-11-07,62.5,75.5,45.0,75.5,124,113,75.5,30.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-11-08,75.0,78.5,47.5,78.5,195,118,78.5,30.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-11-09,74.8,95.0,52.5,88.9,307,199,95.0,30.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-11-10,77.0,92.0,72.0,92.0,440,371,95.0,30.0
766391,SKYFALL:$80m+,Skyfall to gross OVER $80.0M in opening weekend,2012-11-11,92.0,99.7,85.0,99.5,499,243,99.7,30.0
