market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
760417,THE.AVENGERS:$145m+,The Avengers to gross OVER $145.0M in opening weekend,2012-04-23,,,,,0,0,,
760417,THE.AVENGERS:$145m+,The Avengers to gross OVER $145.0M in opening weekend,2012-04-24,,,,,0,0,,
760417,THE.AVENGERS:$145m+,The Avengers to gross OVER $145.0M in opening weekend,2012-04-25,,,,,0,0,,
760417,THE.AVENGERS:$145m+,The Avengers to gross OVER $145.0M in opening weekend,2012-04-26,70.0,72.1,70.0,72.0,12,12,72.1,70.0
760417,THE.AVENGERS:$145m+,The Avengers to gross OVER $145.0M in opening weekend,2012-04-27,76.0,76.0,75.0,75.0,11,11,76.0,70.0
760417,THE.AVENGERS:$145m+,The Avengers to gross OVER $145.0M in opening weekend,2012-04-28,,,,75.0,11,0,76.0,70.0
760417,THE.AVENGERS:$145m+,The Avengers to gross OVER $145.0M in opening weekend,2012-04-29,84.9,84.9,84.9,84.9,11,1,84.9,70.0
760417,THE.AVENGERS:$145m+,The Avengers to gross OVER $145.0M in opening weekend,2012-04-30,94.9,94.9,94.9,94.9,12,1,94.9,70.0
760417,THE.AVENGERS:$145m+,The Avengers to gross OVER $145.0M in opening weekend,2012-05-01,93.0,93.0,80.0,80.0,47,44,94.9,70.0
760417,THE.AVENGERS:$145m+,The Avengers to gross OVER $145.0M in opening weekend,2012-05-02,88.9,89.0,88.9,89.0,48,2,94.9,70.0
760417,THE.AVENGERS:$145m+,The Avengers to gross OVER $145.0M in opening weekend,2012-05-03,90.0,92.9,78.1,92.9,49,3,94.9,70.0
760417,THE.AVENGERS:$145m+,The Avengers to gross OVER $145.0M in opening weekend,2012-05-04,97.5,97.5,90.0,97.0,51,28,97.5,70.0
760417,THE.AVENGERS:$145m+,The Avengers to gross OVER $145.0M in opening weekend,2012-05-05,99.9,99.9,99.7,99.9,33,36,99.9,70.0
760417,THE.AVENGERS:$145m+,The Avengers to gross OVER $145.0M in opening weekend,2012-05-06,98.1,99.5,98.1,99.5,32,2,99.9,70.0
760417,THE.AVENGERS:$145m+,The Avengers to gross OVER $145.0M in opening weekend,2012-05-07,99.9,99.9,99.9,99.9,32,10,99.9,70.0
