market id,market symbol,market name,trade quantity,trade price,date/time [utc]
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,10,19.0,May/27/2005 18:19:51
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,3,9.0,May/27/2005 20:07:45
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,5,10.0,May/28/2005 00:27:36
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,5,10.0,May/28/2005 03:02:39
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,10,15.0,May/28/2005 15:52:12
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,1,12.0,May/28/2005 15:52:23
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,1,12.0,May/28/2005 15:54:12
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,1,12.0,May/28/2005 15:58:54
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,7,12.0,May/28/2005 16:01:10
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,5,10.0,May/28/2005 16:30:32
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,1,20.0,May/28/2005 18:13:48
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,3,20.0,May/28/2005 18:13:48
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,1,18.0,May/28/2005 18:28:40
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,2,75.0,May/28/2005 19:14:13
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,5,50.2,May/28/2005 19:17:01
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,2,60.0,May/28/2005 20:05:29
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,3,80.0,May/28/2005 20:08:59
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,5,83.0,May/28/2005 20:10:59
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,8,41.5,May/28/2005 21:13:11
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,2,42.0,May/28/2005 21:13:11
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,2,94.0,May/28/2005 21:27:13
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,20,85.0,May/28/2005 21:44:21
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,2,85.0,May/28/2005 21:58:49
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,2,41.5,May/28/2005 23:27:24
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,5,75.0,May/28/2005 23:27:48
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,2,80.0,May/29/2005 01:57:32
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,20,56.0,May/29/2005 04:39:51
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,1,55.0,May/29/2005 04:42:03
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,38,80.0,May/29/2005 07:15:15
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,1,45.0,May/29/2005 14:15:30
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,2,30.0,May/29/2005 14:56:14
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,5,50.0,May/29/2005 16:05:25
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,5,50.0,May/29/2005 16:05:44
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,4,23.0,May/29/2005 16:06:16
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,2,50.0,May/29/2005 16:06:23
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,10,50.0,May/29/2005 16:24:00
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,5,50.0,May/29/2005 17:38:59
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,5,38.0,May/29/2005 17:54:06
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,20,35.0,May/29/2005 17:54:20
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,5,15.0,May/29/2005 17:54:35
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,5,12.0,May/29/2005 17:54:53
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,10,10.0,May/29/2005 17:55:15
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,5,16.0,May/29/2005 18:01:52
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,5,15.0,May/29/2005 18:01:52
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,5,15.0,May/29/2005 18:02:42
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,10,5.2,May/29/2005 18:04:41
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,20,5.1,May/29/2005 18:04:58
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,9,5.0,May/29/2005 18:06:01
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,5,16.0,May/29/2005 18:10:34
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,20,48.0,May/29/2005 18:10:34
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,15,45.0,May/29/2005 18:10:34
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,5,50.0,May/29/2005 18:10:53
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,5,50.0,May/29/2005 18:35:01
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,2,49.0,May/29/2005 20:29:35
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,3,49.0,May/29/2005 20:33:55
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,20,49.0,May/29/2005 20:58:14
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,10,49.0,May/29/2005 20:59:33
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,3,49.0,May/29/2005 21:01:30
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,3,49.0,May/29/2005 21:07:16
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,2,34.0,May/29/2005 21:16:36
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,2,48.0,May/29/2005 22:21:07
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,3,48.0,May/29/2005 22:21:54
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,4,49.0,May/30/2005 00:52:12
247790,LONGESTYARD.+$49M,The Longest Yard to gross OVER $49.0M in opening weekend,1,64.0,May/30/2005 00:57:07
