market id,market symbol,market name,trade quantity,trade price,date/time [utc]
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,10,40.0,Aug/05/2005 16:00:22
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,2,42.0,Aug/05/2005 16:00:22
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,2,82.0,Aug/05/2005 18:30:43
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,5,83.8,Aug/05/2005 20:35:52
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,11,83.9,Aug/05/2005 20:37:24
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,10,70.0,Aug/05/2005 21:31:11
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,7,70.0,Aug/05/2005 21:35:13
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,1,70.0,Aug/05/2005 22:48:01
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,1,70.0,Aug/05/2005 22:54:47
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,5,70.0,Aug/05/2005 23:41:57
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,11,70.0,Aug/05/2005 23:45:47
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,10,80.0,Aug/06/2005 03:33:53
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,3,83.0,Aug/06/2005 09:44:41
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,27,83.0,Aug/06/2005 13:53:28
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,5,84.9,Aug/06/2005 14:49:53
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,5,80.0,Aug/06/2005 15:08:15
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,2,82.0,Aug/06/2005 15:24:05
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,4,84.9,Aug/06/2005 15:28:36
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,5,90.0,Aug/06/2005 15:28:36
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,1,86.0,Aug/06/2005 16:48:16
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,9,86.0,Aug/06/2005 18:38:00
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,16,95.0,Aug/06/2005 20:01:55
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,15,94.9,Aug/06/2005 20:01:55
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,3,94.9,Aug/06/2005 20:01:55
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,3,96.0,Aug/06/2005 21:48:17
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,10,90.0,Aug/06/2005 23:09:49
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,1,85.0,Aug/06/2005 23:46:36
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,2,85.0,Aug/06/2005 23:56:23
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,10,92.0,Aug/07/2005 02:17:44
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,5,90.0,Aug/07/2005 02:37:06
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,16,91.0,Aug/07/2005 03:13:22
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,15,95.0,Aug/07/2005 15:26:11
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,1,86.0,Aug/07/2005 15:36:36
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,50,97.0,Aug/07/2005 17:10:50
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,10,97.0,Aug/07/2005 17:39:09
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,5,97.0,Aug/07/2005 18:25:31
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,15,97.0,Aug/07/2005 19:38:00
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,1,98.0,Aug/07/2005 21:51:28
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,3,94.5,Aug/07/2005 21:51:51
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,2,94.5,Aug/07/2005 21:51:51
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,20,94.5,Aug/07/2005 21:51:51
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,25,94.5,Aug/07/2005 21:52:21
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,50,98.0,Aug/07/2005 22:51:08
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,5,98.0,Aug/08/2005 02:20:39
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,7,95.0,Aug/08/2005 17:42:37
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,2,99.0,Aug/08/2005 19:46:06
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,25,99.7,Aug/09/2005 01:43:51
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,30,99.7,Aug/09/2005 02:59:20
269709,MARCHOFPENGUINS.+$6M,March of the Penguins to gross OVER $6.0M in opening weekend,10,99.7,Aug/09/2005 05:45:19
