market id,market symbol,market name,trade quantity,trade price,date/time [utc]
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,2,64.9,Sep/09/2005 17:36:11
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,2,37.0,Sep/09/2005 19:51:55
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,3,35.0,Sep/09/2005 19:59:02
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,1,32.1,Sep/09/2005 20:14:41
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,7,30.0,Sep/09/2005 20:14:56
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,22,25.1,Sep/09/2005 20:15:07
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,2,22.0,Sep/09/2005 20:15:17
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,5,45.0,Sep/09/2005 20:18:51
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,5,45.0,Sep/09/2005 20:34:00
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,1,40.0,Sep/09/2005 20:39:43
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,1,45.0,Sep/09/2005 21:17:17
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,9,45.0,Sep/09/2005 21:25:06
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,1,15.0,Sep/09/2005 23:41:30
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,2,37.0,Sep/09/2005 23:59:21
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,2,15.0,Sep/10/2005 00:11:07
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,3,12.0,Sep/10/2005 03:49:04
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,1,29.0,Sep/10/2005 03:50:44
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,2,34.0,Sep/10/2005 04:16:08
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,20,35.0,Sep/10/2005 04:16:08
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,20,10.0,Sep/10/2005 04:26:21
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,10,24.0,Sep/10/2005 05:52:19
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,2,5.0,Sep/10/2005 17:46:29
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,1,1.4,Sep/11/2005 14:24:00
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,9,1.4,Sep/11/2005 18:49:09
282081,THEMAN.+$6M,The Man to gross OVER $6.0M in opening weekend,1,0.2,Sep/12/2005 01:05:13
