market id,market symbol,market name,trade quantity,trade price,date/time [utc]
685764,BRUNO.+$40.0M,Bruno to gross OVER $40.0M in opening weekend,1,30.0,Jul/08/2009 17:07:02
685764,BRUNO.+$40.0M,Bruno to gross OVER $40.0M in opening weekend,2,74.0,Jul/11/2009 01:34:37
685764,BRUNO.+$40.0M,Bruno to gross OVER $40.0M in opening weekend,8,75.0,Jul/11/2009 01:38:58
685764,BRUNO.+$40.0M,Bruno to gross OVER $40.0M in opening weekend,1,72.5,Jul/11/2009 02:46:44
685764,BRUNO.+$40.0M,Bruno to gross OVER $40.0M in opening weekend,5,33.3,Jul/11/2009 12:37:32
685764,BRUNO.+$40.0M,Bruno to gross OVER $40.0M in opening weekend,10,25.0,Jul/11/2009 22:15:33
685764,BRUNO.+$40.0M,Bruno to gross OVER $40.0M in opening weekend,7,24.0,Jul/12/2009 00:24:03
685764,BRUNO.+$40.0M,Bruno to gross OVER $40.0M in opening weekend,5,16.0,Jul/12/2009 02:43:41
685764,BRUNO.+$40.0M,Bruno to gross OVER $40.0M in opening weekend,6,0.7,Jul/12/2009 19:44:27
685764,BRUNO.+$40.0M,Bruno to gross OVER $40.0M in opening weekend,19,0.9,Jul/13/2009 13:46:26
