market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
258930,SUPREME.BROWN,Justice Janice Brown to be Nominated as US Supreme Court Justice,2005-07-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
258930,SUPREME.BROWN,Justice Janice Brown to be Nominated as US Supreme Court Justice,2005-07-02,12.0,15.0,11.2,14.0,141,141,15.0,11.2
258930,SUPREME.BROWN,Justice Janice Brown to be Nominated as US Supreme Court Justice,2005-07-03,10.6,16.9,10.6,6.0,291,150,16.9,10.6
258930,SUPREME.BROWN,Justice Janice Brown to be Nominated as US Supreme Court Justice,2005-07-04,16.8,16.9,11.3,11.3,443,206,16.9,10.6
258930,SUPREME.BROWN,Justice Janice Brown to be Nominated as US Supreme Court Justice,2005-07-05,12.5,14.8,11.0,12.0,524,100,16.9,10.6
258930,SUPREME.BROWN,Justice Janice Brown to be Nominated as US Supreme Court Justice,2005-07-06,14.1,16.5,10.0,15.3,620,214,16.9,10.0
258930,SUPREME.BROWN,Justice Janice Brown to be Nominated as US Supreme Court Justice,2005-07-07,8.3,15.0,8.3,11.0,787,184,16.9,8.3
258930,SUPREME.BROWN,Justice Janice Brown to be Nominated as US Supreme Court Justice,2005-07-08,10.0,10.9,8.5,10.9,881,108,16.9,8.3
258930,SUPREME.BROWN,Justice Janice Brown to be Nominated as US Supreme Court Justice,2005-07-09,9.8,9.8,9.7,10.9,881,11,16.9,8.3
258930,SUPREME.BROWN,Justice Janice Brown to be Nominated as US Supreme Court Justice,2005-07-10,10.9,11.0,7.1,10.9,1124,243,16.9,7.1
258930,SUPREME.BROWN,Justice Janice Brown to be Nominated as US Supreme Court Justice,2005-07-11,15.0,15.0,11.1,11.6,1277,161,16.9,7.1
258930,SUPREME.BROWN,Justice Janice Brown to be Nominated as US Supreme Court Justice,2005-07-12,10.7,10.7,10.0,10.7,1286,123,16.9,7.1
258930,SUPREME.BROWN,Justice Janice Brown to be Nominated as US Supreme Court Justice,2005-07-13,7.1,7.2,6.9,7.1,1281,53,16.9,6.9
258930,SUPREME.BROWN,Justice Janice Brown to be Nominated as US Supreme Court Justice,2005-07-14,6.8,6.9,5.0,7.1,1168,223,16.9,5.0
258930,SUPREME.BROWN,Justice Janice Brown to be Nominated as US Supreme Court Justice,2005-07-15,3.0,6.5,2.3,0.0,1201,34,16.9,2.3
258930,SUPREME.BROWN,Justice Janice Brown to be Nominated as US Supreme Court Justice,2005-07-16,2.1,2.1,2.1,2.1,1201,2,16.9,2.1
258930,SUPREME.BROWN,Justice Janice Brown to be Nominated as US Supreme Court Justice,2005-07-17,0.0,0.0,0.0,2.1,1201,0,16.9,2.1
258930,SUPREME.BROWN,Justice Janice Brown to be Nominated as US Supreme Court Justice,2005-07-18,8.9,8.9,2.0,2.0,1234,219,16.9,2.0
258930,SUPREME.BROWN,Justice Janice Brown to be Nominated as US Supreme Court Justice,2005-07-18,2.1,4.8,1.3,0.0,0,110,16.9,1.3
