market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-07-25,30.0,30.0,22.0,27.0,58,58,30.0,22.0
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-07-26,30.0,30.0,29.9,25.0,149,91,30.0,22.0
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-07-27,29.1,33.0,29.1,29.9,159,55,33.0,22.0
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-07-28,28.0,31.9,28.0,28.0,237,90,33.0,22.0
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-07-29,25.0,29.9,25.0,28.0,263,47,33.0,22.0
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-07-30,29.0,29.0,29.0,28.0,266,3,33.0,22.0
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-07-31,27.0,28.0,25.0,26.0,292,70,33.0,22.0
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-08-01,27.5,30.0,20.6,30.0,399,200,33.0,20.6
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-08-02,27.9,27.9,25.5,30.0,407,8,33.0,20.6
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-08-03,20.6,26.0,20.6,30.0,407,3,33.0,20.6
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-08-04,0.0,0.0,0.0,23.0,407,0,33.0,20.6
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-08-05,24.9,24.9,24.9,23.0,419,12,33.0,20.6
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-08-06,21.9,22.0,21.9,22.0,422,10,33.0,20.6
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-08-07,22.8,28.9,22.7,22.7,440,19,33.0,20.6
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-08-08,26.5,28.0,22.7,27.0,487,54,33.0,20.6
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-08-09,21.2,29.9,21.2,26.5,482,11,33.0,20.6
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-08-10,24.1,27.9,24.0,25.0,510,40,33.0,20.6
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-08-11,22.0,22.0,22.0,25.0,513,3,33.0,20.6
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-08-12,24.0,24.0,24.0,24.0,518,5,33.0,20.6
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-08-13,26.0,26.0,25.0,0.0,529,12,33.0,20.6
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-08-14,0.0,0.0,0.0,24.5,529,0,33.0,20.6
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-08-15,23.0,23.1,23.0,24.5,529,10,33.0,20.6
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-08-16,30.0,30.0,23.0,23.0,536,17,33.0,20.6
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-08-17,0.0,0.0,0.0,23.0,536,0,33.0,20.6
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-08-18,0.0,0.0,0.0,27.5,536,0,33.0,20.6
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-08-19,30.0,30.0,30.0,27.5,551,23,33.0,20.6
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-08-20,30.0,30.0,30.0,27.5,581,30,33.0,20.6
266099,ROBERTS.VOTES.OVER80,Roberts to receive ON or OVER 80 Affirmative votes in the Senate,2005-08-21,0.0,0.0,0.0,27.5,581,0,33.0,20.6
