market id,market symbol,market name,trade quantity,trade price,date/time [utc]
349248,IL-08.HOUSE.GOP,Republican Party Candidate to win the Illinois 8th District House Race,10,40.0,Apr/01/2006 02:38:06
349248,IL-08.HOUSE.GOP,Republican Party Candidate to win the Illinois 8th District House Race,10,40.0,Apr/09/2006 04:22:13
349248,IL-08.HOUSE.GOP,Republican Party Candidate to win the Illinois 8th District House Race,10,36.0,May/22/2006 10:15:16
349248,IL-08.HOUSE.GOP,Republican Party Candidate to win the Illinois 8th District House Race,5,40.1,Jul/19/2006 22:22:24
349248,IL-08.HOUSE.GOP,Republican Party Candidate to win the Illinois 8th District House Race,5,40.1,Jul/25/2006 22:42:55
349248,IL-08.HOUSE.GOP,Republican Party Candidate to win the Illinois 8th District House Race,10,40.0,Jul/26/2006 21:33:51
349248,IL-08.HOUSE.GOP,Republican Party Candidate to win the Illinois 8th District House Race,10,10.0,Aug/17/2006 10:49:50
349248,IL-08.HOUSE.GOP,Republican Party Candidate to win the Illinois 8th District House Race,1,35.0,Sep/15/2006 04:39:19
349248,IL-08.HOUSE.GOP,Republican Party Candidate to win the Illinois 8th District House Race,1,25.0,Oct/27/2006 02:50:19
349248,IL-08.HOUSE.GOP,Republican Party Candidate to win the Illinois 8th District House Race,1,50.0,Oct/30/2006 12:34:18
349248,IL-08.HOUSE.GOP,Republican Party Candidate to win the Illinois 8th District House Race,5,7.5,Nov/06/2006 16:12:23
