market id,market symbol,market name,trade quantity,trade price,date/time [utc]
613775,DEM.ELEC.COLLEGE.>=370,Democratic Nominee to win 370 or more Electoral College Votes,20,5.0,Jun/06/2008 13:53:38
613775,DEM.ELEC.COLLEGE.>=370,Democratic Nominee to win 370 or more Electoral College Votes,20,10.0,Jun/22/2008 05:29:27
613775,DEM.ELEC.COLLEGE.>=370,Democratic Nominee to win 370 or more Electoral College Votes,1,10.0,Jun/22/2008 05:29:27
613775,DEM.ELEC.COLLEGE.>=370,Democratic Nominee to win 370 or more Electoral College Votes,3,9.9,Jun/22/2008 05:29:27
613775,DEM.ELEC.COLLEGE.>=370,Democratic Nominee to win 370 or more Electoral College Votes,26,10.0,Jun/23/2008 14:16:26
613775,DEM.ELEC.COLLEGE.>=370,Democratic Nominee to win 370 or more Electoral College Votes,10,10.0,Jun/23/2008 23:42:37
613775,DEM.ELEC.COLLEGE.>=370,Democratic Nominee to win 370 or more Electoral College Votes,1,10.0,Jun/28/2008 16:57:27
613775,DEM.ELEC.COLLEGE.>=370,Democratic Nominee to win 370 or more Electoral College Votes,13,10.0,Jun/28/2008 20:12:25
613775,DEM.ELEC.COLLEGE.>=370,Democratic Nominee to win 370 or more Electoral College Votes,20,9.5,Jul/09/2008 21:41:15
613775,DEM.ELEC.COLLEGE.>=370,Democratic Nominee to win 370 or more Electoral College Votes,16,9.0,Jul/11/2008 22:06:15
613775,DEM.ELEC.COLLEGE.>=370,Democratic Nominee to win 370 or more Electoral College Votes,5,10.0,Aug/13/2008 14:56:52
613775,DEM.ELEC.COLLEGE.>=370,Democratic Nominee to win 370 or more Electoral College Votes,20,10.3,Sep/06/2008 18:02:38
613775,DEM.ELEC.COLLEGE.>=370,Democratic Nominee to win 370 or more Electoral College Votes,5,10.5,Sep/06/2008 18:02:59
613775,DEM.ELEC.COLLEGE.>=370,Democratic Nominee to win 370 or more Electoral College Votes,10,10.4,Sep/06/2008 18:02:59
613775,DEM.ELEC.COLLEGE.>=370,Democratic Nominee to win 370 or more Electoral College Votes,10,10.4,Sep/10/2008 18:17:18
613775,DEM.ELEC.COLLEGE.>=370,Democratic Nominee to win 370 or more Electoral College Votes,20,8.8,Sep/24/2008 06:44:29
613775,DEM.ELEC.COLLEGE.>=370,Democratic Nominee to win 370 or more Electoral College Votes,7,8.9,Sep/24/2008 06:45:16
