market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-14,65.0,65.0,45.0,65.0,5,7,65.0,45.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-15,49.4,54.9,49.4,42.5,10,5,65.0,45.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-16,35.0,35.0,34.0,35.0,40,33,65.0,34.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-17,34.0,35.0,34.0,34.0,72,34,65.0,34.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-18,35.0,35.0,33.0,35.0,81,17,65.0,33.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-19,0.0,0.0,0.0,35.0,81,0,65.0,33.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-20,0.0,0.0,0.0,35.0,81,0,65.0,33.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-21,44.8,49.8,44.8,44.8,121,81,65.0,33.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-22,35.0,44.0,35.0,39.5,143,26,65.0,33.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-23,37.5,44.0,37.5,44.0,163,66,65.0,33.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-24,43.5,43.5,40.0,39.9,163,14,65.0,33.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-25,39.9,41.9,28.0,39.9,189,31,65.0,28.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-26,0.0,0.0,0.0,39.9,189,0,65.0,28.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-27,38.9,39.8,23.0,39.9,195,10,65.0,23.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-28,36.9,36.9,31.0,39.9,200,6,65.0,23.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-29,35.0,39.9,30.0,35.0,210,24,65.0,23.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-30,38.5,38.5,38.5,38.5,210,1,65.0,23.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-10-31,43.4,43.5,42.9,42.9,240,34,65.0,23.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-11-01,42.2,48.0,42.2,42.9,250,16,65.0,23.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-11-02,38.0,38.0,37.5,38.0,261,21,65.0,23.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-11-03,42.5,42.5,31.5,37.0,316,67,65.0,23.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-11-04,31.0,41.0,1.0,3.0,546,360,65.0,1.0
648312,REP.ELEC.COLLEGE.>=200,Republican Nominee to win 200 or more Electoral College Votes,2008-11-05,1.0,1.0,0.9,0.9,462,84,65.0,0.9
