market id,market symbol,market name,trade quantity,trade price,date/time [utc]
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,20,5.0,Jun/06/2008 19:55:49
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,20,10.0,Aug/17/2008 21:23:30
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,10,9.0,Aug/17/2008 21:23:30
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,5,9.0,Aug/17/2008 21:34:11
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,5,9.0,Aug/19/2008 02:56:40
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,50,11.0,Aug/31/2008 04:47:48
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,10,14.0,Sep/05/2008 01:50:55
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,1,15.0,Sep/10/2008 04:21:32
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,7,15.0,Sep/11/2008 19:34:57
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,10,15.0,Sep/12/2008 02:01:46
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,1,15.0,Sep/12/2008 02:05:20
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,10,15.0,Sep/14/2008 14:37:56
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,50,20.0,Sep/23/2008 12:50:30
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,50,15.0,Sep/25/2008 17:46:58
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,20,15.0,Sep/25/2008 17:46:58
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,1,5.0,Oct/09/2008 16:33:43
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,50,5.0,Oct/31/2008 01:24:15
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,2,2.0,Nov/04/2008 12:24:27
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,1,2.0,Nov/04/2008 17:31:54
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,67,2.0,Nov/05/2008 02:53:30
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,50,1.1,Nov/05/2008 21:09:52
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,1,1.0,Nov/06/2008 13:30:53
613778,REP.ELEC.COLLEGE.>=330,Republican Nominee to win 330 or more Electoral College Votes,6,0.8,Nov/06/2008 13:31:25
