market id,market symbol,market name,trade quantity,trade price,date/time [utc]
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,2,62.0,Sep/19/2012 00:46:25
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,30,55.0,Sep/19/2012 15:29:20
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,1,55.0,Sep/20/2012 14:57:40
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,1,55.0,Sep/20/2012 14:57:40
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,30,55.0,Sep/20/2012 15:28:10
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,4,47.0,Sep/26/2012 01:56:03
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,10,40.5,Sep/27/2012 02:37:31
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,1,49.0,Sep/29/2012 03:52:12
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,1,39.0,Sep/29/2012 03:53:28
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,5,39.0,Sep/30/2012 06:24:36
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,1,35.0,Oct/01/2012 20:12:57
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,1,30.0,Oct/02/2012 03:18:08
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,5,30.1,Oct/02/2012 03:18:08
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,19,30.0,Oct/02/2012 03:19:49
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,10,46.0,Oct/04/2012 02:15:32
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,24,40.0,Oct/06/2012 14:14:50
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,1,54.9,Oct/07/2012 06:43:03
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,9,55.0,Oct/07/2012 06:43:44
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,2,49.9,Oct/09/2012 19:16:03
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,10,50.0,Oct/09/2012 19:17:41
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,10,40.0,Oct/10/2012 02:31:50
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,2,33.5,Oct/10/2012 14:39:49
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,2,40.0,Oct/10/2012 17:07:14
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,1,54.9,Oct/10/2012 17:07:27
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,4,54.9,Oct/11/2012 18:44:41
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,2,44.0,Oct/15/2012 21:19:30
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,3,42.0,Oct/15/2012 21:27:29
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,1,42.0,Oct/15/2012 21:27:29
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,2,54.0,Oct/15/2012 22:15:50
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,1,40.5,Oct/17/2012 06:00:11
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,3,40.5,Oct/17/2012 09:08:49
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,10,40.0,Oct/17/2012 09:09:57
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,2,40.0,Oct/17/2012 09:27:48
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,9,40.0,Oct/17/2012 18:15:08
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,5,53.9,Oct/18/2012 01:23:36
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,1,54.0,Oct/18/2012 01:23:36
746018,2012.REP.SENATE.49+,Republicans to hold 49 or more seats after 2012 elections,5,52.5,Oct/18/2012 01:23:36
