market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
756727,MICHIGAN.2nd.ROMNEY,Mitt Romney to finish second in the 2012 Michigan Primary,2012-01-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756727,MICHIGAN.2nd.ROMNEY,Mitt Romney to finish second in the 2012 Michigan Primary,2012-01-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756727,MICHIGAN.2nd.ROMNEY,Mitt Romney to finish second in the 2012 Michigan Primary,2012-01-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756727,MICHIGAN.2nd.ROMNEY,Mitt Romney to finish second in the 2012 Michigan Primary,2012-01-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756727,MICHIGAN.2nd.ROMNEY,Mitt Romney to finish second in the 2012 Michigan Primary,2012-01-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756727,MICHIGAN.2nd.ROMNEY,Mitt Romney to finish second in the 2012 Michigan Primary,2012-01-31,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756727,MICHIGAN.2nd.ROMNEY,Mitt Romney to finish second in the 2012 Michigan Primary,2012-02-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756727,MICHIGAN.2nd.ROMNEY,Mitt Romney to finish second in the 2012 Michigan Primary,2012-02-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756727,MICHIGAN.2nd.ROMNEY,Mitt Romney to finish second in the 2012 Michigan Primary,2012-02-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756727,MICHIGAN.2nd.ROMNEY,Mitt Romney to finish second in the 2012 Michigan Primary,2012-02-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756727,MICHIGAN.2nd.ROMNEY,Mitt Romney to finish second in the 2012 Michigan Primary,2012-02-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756727,MICHIGAN.2nd.ROMNEY,Mitt Romney to finish second in the 2012 Michigan Primary,2012-02-06,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756727,MICHIGAN.2nd.ROMNEY,Mitt Romney to finish second in the 2012 Michigan Primary,2012-02-07,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756727,MICHIGAN.2nd.ROMNEY,Mitt Romney to finish second in the 2012 Michigan Primary,2012-02-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756727,MICHIGAN.2nd.ROMNEY,Mitt Romney to finish second in the 2012 Michigan Primary,2012-02-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756727,MICHIGAN.2nd.ROMNEY,Mitt Romney to finish second in the 2012 Michigan Primary,2012-02-10,30.0,30.0,30.0,30.0,21,21,30.0,30.0
756727,MICHIGAN.2nd.ROMNEY,Mitt Romney to finish second in the 2012 Michigan Primary,2012-02-11,50.0,50.0,50.0,50.0,22,1,50.0,30.0
756727,MICHIGAN.2nd.ROMNEY,Mitt Romney to finish second in the 2012 Michigan Primary,2012-02-12,52.5,52.5,52.5,52.5,23,1,52.5,30.0
756727,MICHIGAN.2nd.ROMNEY,Mitt Romney to finish second in the 2012 Michigan Primary,2012-02-13,53.0,53.5,41.3,50.1,56,34,53.5,30.0
