market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
770019,ITALY.PM.OTHER,Any other individual to be Prime Minister of Italy after the 2013 general election,2013-01-21,0.1,49.5,0.1,49.5,21,21,49.5,0.1
770019,ITALY.PM.OTHER,Any other individual to be Prime Minister of Italy after the 2013 general election,2013-01-22,20.0,20.0,20.0,20.0,24,3,49.5,0.1
770019,ITALY.PM.OTHER,Any other individual to be Prime Minister of Italy after the 2013 general election,2013-01-23,10.2,18.5,7.1,18.5,78,55,49.5,0.1
770019,ITALY.PM.OTHER,Any other individual to be Prime Minister of Italy after the 2013 general election,2013-01-24,7.1,7.1,7.0,7.0,113,35,49.5,0.1
770019,ITALY.PM.OTHER,Any other individual to be Prime Minister of Italy after the 2013 general election,2013-01-25,,,,7.0,113,0,49.5,0.1
770019,ITALY.PM.OTHER,Any other individual to be Prime Minister of Italy after the 2013 general election,2013-01-26,,,,7.0,113,0,49.5,0.1
770019,ITALY.PM.OTHER,Any other individual to be Prime Minister of Italy after the 2013 general election,2013-01-27,8.5,8.5,8.5,8.5,114,1,49.5,0.1
770019,ITALY.PM.OTHER,Any other individual to be Prime Minister of Italy after the 2013 general election,2013-01-28,,,,8.5,114,0,49.5,0.1
770019,ITALY.PM.OTHER,Any other individual to be Prime Minister of Italy after the 2013 general election,2013-01-29,7.0,7.0,6.2,6.2,129,15,49.5,0.1
770019,ITALY.PM.OTHER,Any other individual to be Prime Minister of Italy after the 2013 general election,2013-01-30,,,,6.2,129,0,49.5,0.1
770019,ITALY.PM.OTHER,Any other individual to be Prime Minister of Italy after the 2013 general election,2013-01-31,,,,6.2,129,0,49.5,0.1
770019,ITALY.PM.OTHER,Any other individual to be Prime Minister of Italy after the 2013 general election,2013-02-01,7.0,7.0,7.0,7.0,130,1,49.5,0.1
770019,ITALY.PM.OTHER,Any other individual to be Prime Minister of Italy after the 2013 general election,2013-02-02,,,,7.0,130,0,49.5,0.1
770019,ITALY.PM.OTHER,Any other individual to be Prime Minister of Italy after the 2013 general election,2013-02-03,,,,7.0,130,0,49.5,0.1
770019,ITALY.PM.OTHER,Any other individual to be Prime Minister of Italy after the 2013 general election,2013-02-04,6.3,7.0,4.9,4.9,240,127,49.5,0.1
770019,ITALY.PM.OTHER,Any other individual to be Prime Minister of Italy after the 2013 general election,2013-02-05,6.6,10.0,6.6,10.0,256,27,49.5,0.1
