market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
663881,BURRIS.SEATED.IL,Roland Burris to be seated as Senator for Illinois (replacing Barack Obama),2009-01-05,50.0,70.0,45.0,70.0,50,63,70.0,45.0
663881,BURRIS.SEATED.IL,Roland Burris to be seated as Senator for Illinois (replacing Barack Obama),2009-01-06,75.0,90.0,52.0,90.0,659,733,90.0,45.0
663881,BURRIS.SEATED.IL,Roland Burris to be seated as Senator for Illinois (replacing Barack Obama),2009-01-07,90.0,97.4,85.0,93.2,2862,2376,97.4,45.0
663881,BURRIS.SEATED.IL,Roland Burris to be seated as Senator for Illinois (replacing Barack Obama),2009-01-08,94.0,95.4,90.0,93.1,3259,596,97.4,45.0
663881,BURRIS.SEATED.IL,Roland Burris to be seated as Senator for Illinois (replacing Barack Obama),2009-01-09,94.9,94.9,84.0,86.0,3657,1275,97.4,45.0
663881,BURRIS.SEATED.IL,Roland Burris to be seated as Senator for Illinois (replacing Barack Obama),2009-01-10,90.0,93.9,87.0,90.0,3687,71,97.4,45.0
663881,BURRIS.SEATED.IL,Roland Burris to be seated as Senator for Illinois (replacing Barack Obama),2009-01-11,93.0,94.9,91.5,94.0,3693,91,97.4,45.0
663881,BURRIS.SEATED.IL,Roland Burris to be seated as Senator for Illinois (replacing Barack Obama),2009-01-12,95.9,98.0,95.1,98.0,4225,629,98.0,45.0
663881,BURRIS.SEATED.IL,Roland Burris to be seated as Senator for Illinois (replacing Barack Obama),2009-01-13,97.9,98.3,97.8,97.9,5016,1393,98.3,45.0
663881,BURRIS.SEATED.IL,Roland Burris to be seated as Senator for Illinois (replacing Barack Obama),2009-01-14,98.4,98.4,97.7,98.3,5019,194,98.4,45.0
