market id,market symbol,market name,trade quantity,trade price,date/time [utc]
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,100,43.0,Jul/26/2004 19:28:44
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,2,47.0,Jul/26/2004 20:28:41
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,47.0,Jul/26/2004 21:07:02
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,47.0,Jul/26/2004 21:11:34
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,96,47.0,Jul/26/2004 21:35:53
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,2,47.0,Jul/27/2004 03:45:31
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,51.0,Jul/27/2004 05:01:45
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,2,50.4,Jul/27/2004 17:11:59
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,2,50.5,Jul/27/2004 17:11:59
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,90,51.0,Jul/27/2004 18:32:25
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,2,50.7,Jul/27/2004 18:32:25
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,2,50.8,Jul/27/2004 18:32:25
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,8,55.0,Jul/28/2004 04:35:04
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,2,55.0,Jul/28/2004 04:44:13
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,6,55.0,Jul/28/2004 05:01:04
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,55.0,Jul/28/2004 08:07:18
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,100,54.9,Jul/28/2004 16:32:11
